p lcorrect lwrong lexpected
0.385988 5.27562 -0.448989 1.91022
0.388493 5.32432 -0.461263 1.91957
0.390999 5.37329 -0.473544 1.92895
0.393505 5.42254 -0.485834 1.93836
0.396011 5.47206 -0.498131 1.9478
0.398517 5.52185 -0.510436 1.95727
0.401022 5.57192 -0.522747 1.96676
0.403528 5.62226 -0.535064 1.97629
0.406034 5.67289 -0.547387 1.98584
0.40854 5.72379 -0.559716 1.99542
0.411045 5.77497 -0.572049 2.00502
0.413551 5.82643 -0.584387 2.01466
0.416057 5.87817 -0.596729 2.02432
0.418563 5.93019 -0.609075 2.03401
0.421068 5.98249 -0.621424 2.04373
0.423574 6.03508 -0.633776 2.05347
0.42608 6.08796 -0.646131 2.06325
0.428586 6.14112 -0.658487 2.07305
0.431091 6.19457 -0.670846 2.08287
0.433597 6.24831 -0.683205 2.09273
0.436103 6.30234 -0.695565 2.10261
0.438609 6.35666 -0.707926 2.11252
0.441115 6.41127 -0.720286 2.12246
0.44362 6.46618 -0.732646 2.13242
0.446126 6.52138 -0.745005 2.14241
0.448632 6.57688 -0.757363 2.15243
0.451138 6.63268 -0.769719 2.16247
0.453643 6.68877 -0.782073 2.17255
0.456149 6.74517 -0.794425 2.18265
0.458655 6.80187 -0.806774 2.19277
0.461161 6.85887 -0.819119 2.20292
0.463666 6.91618 -0.83146 2.2131
0.466172 6.9738 -0.843798 2.22331
0.468678 7.03172 -0.856131 2.23355
0.471184 7.08995 -0.868458 2.24381
0.473689 7.1485 -0.880781 2.2541
0.476195 7.20736 -0.893098 2.26441
0.478701 7.26654 -0.905408 2.27475
0.481207 7.32603 -0.917712 2.28512
0.483713 7.38584 -0.930009 2.29552
0.486218 7.44597 -0.942298 2.30595
0.488724 7.50643 -0.954579 2.3164
0.49123 7.5672 -0.966853 2.32688
0.493736 7.62831 -0.979117 2.33738
0.496241 7.68974 -0.991373 2.34791
0.498747 7.75151 -1.00362 2.35848
0.501253 7.8136 -1.01585 2.36906
0.503759 7.87603 -1.02808 2.37968
0.506264 7.9388 -1.04029 2.39032
0.50877 8.00191 -1.0525 2.40099
0.511276 8.06536 -1.06469 2.41169
0.513782 8.12915 -1.07687 2.42242
0.516287 8.19328 -1.08904 2.43317
0.518793 8.25777 -1.10119 2.44395
0.521299 8.3226 -1.11333 2.45476
0.523805 8.38779 -1.12546 2.4656
0.526311 8.45333 -1.13758 2.47647
0.528816 8.51923 -1.14968 2.48736
0.531322 8.58549 -1.16176 2.49829
0.533828 8.65211 -1.17383 2.50924
0.536334 8.7191 -1.18588 2.52022
0.538839 8.78645 -1.19792 2.53123
0.541345 8.85418 -1.20994 2.54226
0.543851 8.92228 -1.22194 2.55333
0.546357 8.99076 -1.23393 2.56443
0.548862 9.05961 -1.24589 2.57555
0.551368 9.12885 -1.25784 2.58671
0.553874 9.19847 -1.26977 2.59789
0.55638 9.26849 -1.28168 2.6091
0.558885 9.33889 -1.29357 2.62034
0.561391 9.40969 -1.30544 2.63162
0.563897 9.48089 -1.31729 2.64292
0.566403 9.55249 -1.32912 2.65425
0.568909 9.62449 -1.34093 2.66562
0.571414 9.6969 -1.35271 2.67701
0.57392 9.76973 -1.36447 2.68844
0.576426 9.84297 -1.37621 2.69989
0.578932 9.91662 -1.38793 2.71138
0.581437 9.99071 -1.39962 2.7229
0.583943 10.0652 -1.41129 2.73445
0.586449 10.1402 -1.42293 2.74603
0.588955 10.2155 -1.43455 2.75764
0.59146 10.2913 -1.44614 2.76929
0.593966 10.3676 -1.4577 2.78097
0.596472 10.4443 -1.46924 2.79268
0.598978 10.5214 -1.48075 2.80442
0.601483 10.599 -1.49223 2.8162
0.603989 10.6771 -1.50369 2.82801
0.606495 10.7556 -1.51511 2.83985
0.609001 10.8346 -1.52651 2.85173
0.611507 10.9141 -1.53788 2.86364
0.614012 10.9941 -1.54921 2.87558
0.616518 11.0745 -1.56052 2.88756
0.619024 11.1554 -1.57179 2.89958
0.62153 11.2368 -1.58303 2.91163
0.624035 11.3188 -1.59424 2.92372
0.626541 11.4012 -1.60541 2.93584
0.629047 11.4841 -1.61655 2.948
0.631553 11.5675 -1.62766 2.96019
0.634058 11.6515 -1.63873 2.97242
0.636564 11.736 -1.64977 2.98469
0.63907 11.821 -1.66077 2.997
0.641576 11.9066 -1.67173 3.00934
0.644081 11.9927 -1.68266 3.02172
0.646587 12.0793 -1.69355 3.03414
0.649093 12.1666 -1.7044 3.0466
0.651599 12.2543 -1.71521 3.0591
0.654105 12.3427 -1.72598 3.07164
0.65661 12.4316 -1.73671 3.08422
0.659116 12.5211 -1.7474 3.09684
0.661622 12.6112 -1.75805 3.1095
0.664128 12.7019 -1.76866 3.1222
0.666633 12.7932 -1.77922 3.13495
0.669139 12.8851 -1.78974 3.14773
0.671645 12.9777 -1.80022 3.16056
0.674151 13.0708 -1.81065 3.17344
0.676656 13.1647 -1.82103 3.18635
0.679162 13.2591 -1.83137 3.19931
0.681668 13.3542 -1.84166 3.21232
0.684174 13.45 -1.85191 3.22537
0.686679 13.5464 -1.8621 3.23847
0.689185 13.6436 -1.87225 3.25161
0.691691 13.7414 -1.88234 3.2648
0.694197 13.8399 -1.89238 3.27804
0.696703 13.9392 -1.90238 3.29133
0.699208 14.0391 -1.91232 3.30466
0.701714 14.1398 -1.9222 3.31805
0.70422 14.2412 -1.93203 3.33149
0.706726 14.3434 -1.94181 3.34497
0.709231 14.4464 -1.95153 3.35851
0.711737 14.5501 -1.96119 3.3721
0.714243 14.6546 -1.9708 3.38574
0.716749 14.7599 -1.98034 3.39944
0.719254 14.866 -1.98983 3.41319
0.72176 14.973 -1.99926 3.427
0.724266 15.0808 -2.00862 3.44086
0.726772 15.1894 -2.01792 3.45478
0.729277 15.2989 -2.02716 3.46876
0.731783 15.4093 -2.03634 3.4828
0.734289 15.5206 -2.04544 3.49689
0.736795 15.6328 -2.05448 3.51105
0.739301 15.7459 -2.06346 3.52526
0.741806 15.86 -2.07236 3.53954
0.744312 15.975 -2.08119 3.55389
0.746818 16.091 -2.08995 3.56829
0.749324 16.208 -2.09864 3.58277
0.751829 16.326 -2.10726 3.59731
0.754335 16.445 -2.1158 3.61191
0.756841 16.5651 -2.12426 3.62659
0.759347 16.6863 -2.13265 3.64133
0.761852 16.8085 -2.14095 3.65615
0.764358 16.9318 -2.14918 3.67104
0.766864 17.0563 -2.15732 3.686
0.76937 17.1819 -2.16538 3.70104
0.771875 17.3087 -2.17336 3.71615
0.774381 17.4367 -2.18125 3.73134
0.776887 17.566 -2.18905 3.74661
0.779393 17.6964 -2.19676 3.76196
0.781898 17.8282 -2.20438 3.7774
0.784404 17.9612 -2.2119 3.79291
0.78691 18.0956 -2.21933 3.80851
0.789416 18.2313 -2.22667 3.8242
0.791922 18.3684 -2.2339 3.83998
0.794427 18.507 -2.24104 3.85585
0.796933 18.647 -2.24807 3.87181
0.799439 18.7885 -2.255 3.88787
0.801945 18.9315 -2.26182 3.90402
0.80445 19.076 -2.26853 3.92027
0.806956 19.2222 -2.27513 3.93662
0.809462 19.3699 -2.28162 3.95307
0.811968 19.5194 -2.28799 3.96963
0.814473 19.6705 -2.29424 3.9863
0.816979 19.8235 -2.30038 4.00307
0.819485 19.9782 -2.30639 4.01996
0.821991 20.1347 -2.31227 4.03696
0.824496 20.2932 -2.31802 4.05409
0.827002 20.4536 -2.32364 4.07133
0.829508 20.616 -2.32913 4.0887
0.832014 20.7805 -2.33448 4.10619
0.83452 20.9471 -2.33969 4.12381
0.837025 21.1159 -2.34475 4.14157
0.839531 21.2869 -2.34966 4.15946
0.842037 21.4602 -2.35442 4.1775
0.844543 21.6359 -2.35903 4.19568
0.847048 21.814 -2.36347 4.214
0.849554 21.9947 -2.36776 4.23248
0.85206 22.1779 -2.37187 4.25112
0.854566 22.3639 -2.37581 4.26992
0.857071 22.5526 -2.37957 4.28889
0.859577 22.7442 -2.38315 4.30802
0.862083 22.9388 -2.38654 4.32734
0.864589 23.1365 -2.38974 4.34683
0.867094 23.3373 -2.39274 4.36651
0.8696 23.5415 -2.39554 4.38639
0.872106 23.749 -2.39812 4.40647
0.874612 23.9602 -2.40049 4.42675
0.877118 24.175 -2.40263 4.44725
0.879623 24.3936 -2.40455 4.46797
0.882129 24.6162 -2.40622 4.48892
0.884635 24.843 -2.40764 4.51011
0.887141 25.0741 -2.40881 4.53154
0.889646 25.3098 -2.40971 4.55324
0.892152 25.5501 -2.41034 4.57519
0.894658 25.7954 -2.41069 4.59743
0.897164 26.0458 -2.41073 4.61995
0.899669 26.3016 -2.41047 4.64278
0.902175 26.5631 -2.4099 4.66591
0.904681 26.8306 -2.40899 4.68938
0.907187 27.1043 -2.40773 4.71318
0.909692 27.3846 -2.40611 4.73735
0.912198 27.6718 -2.40411 4.76189
0.914704 27.9664 -2.40172 4.78682
0.91721 28.2688 -2.39892 4.81217
0.919716 28.5794 -2.39568 4.83795
0.922221 28.8987 -2.39198 4.8642
0.924727 29.2273 -2.3878 4.89092
0.927233 29.5658 -2.38312 4.91816
0.929739 29.9149 -2.37791 4.94595
0.932244 30.2753 -2.37213 4.97431
0.93475 30.6479 -2.36575 5.00328
0.937256 31.0336 -2.35873 5.03291
0.939762 31.4335 -2.35103 5.06324
0.942267 31.8486 -2.34261 5.09432
0.944773 32.2805 -2.33342 5.1262
0.947279 32.7305 -2.32338 5.15896
0.949785 33.2004 -2.31245 5.19267
0.95229 33.6922 -2.30054 5.2274
0.954796 34.2082 -2.28756 5.26325
0.957302 34.7512 -2.27343 5.30033
0.959808 35.3244 -2.25802 5.33877
0.962314 35.9316 -2.24121 5.37872
0.964819 36.5774 -2.22283 5.42035
0.967325 37.2675 -2.20269 5.46388
0.969831 38.0088 -2.18056 5.50956
0.972337 38.8102 -2.15616 5.55772
0.974842 39.6829 -2.12914 5.60875
0.977348 40.6417 -2.09904 5.66318
0.979854 41.7069 -2.06526 5.72168
0.98236 42.9064 -2.02699 5.78518
0.984865 44.2812 -1.9831 5.85499
0.987371 45.8947 -1.93188 5.93306
0.989877 47.8525 -1.87064 6.02254
0.992383 50.3514 -1.79463 6.12896
0.994888 53.8286 -1.69402 6.2639
0.997394 59.6496 -1.54112 6.46029
0.9999 87.4744 -1.04897 7.06967
