p ratio
0.00250006 0.042077
0.00500005 0.0746105
0.00750005 0.102731
0.01 0.127673
0.0125 0.150129
0.015 0.170559
0.0175 0.189298
0.02 0.206596
0.0225 0.222652
0.025 0.237622
0.0275 0.251636
0.03 0.264802
0.0325 0.277208
0.035 0.288932
0.0375 0.300038
0.04 0.310583
0.0425 0.320615
0.045 0.330179
0.0475 0.339312
0.05 0.348047
0.0525 0.356414
0.055 0.36444
0.0575 0.372148
0.06 0.379562
0.0625 0.386699
0.065 0.393577
0.0675 0.400213
0.07 0.406621
0.0725 0.412815
0.075 0.418807
0.0775 0.424608
0.08 0.430229
0.0825 0.435679
0.085 0.440967
0.0875 0.446101
0.09 0.45109
0.0925 0.45594
0.095 0.460657
0.0975 0.465249
0.1 0.46972
0.1025 0.474077
0.105 0.478323
0.1075 0.482465
0.11 0.486506
0.1125 0.490451
0.115 0.494303
0.1175 0.498066
0.12 0.501745
0.1225 0.505341
0.125 0.508859
0.1275 0.512301
0.13 0.51567
0.1325 0.518968
0.135 0.522199
0.1375 0.525365
0.14 0.528467
0.1425 0.531509
0.145 0.534491
0.1475 0.537417
0.15 0.540288
0.1525 0.543106
0.155 0.545872
0.1575 0.548588
0.16 0.551256
0.1625 0.553877
0.165 0.556453
0.1675 0.558985
0.17 0.561474
0.1725 0.563921
0.175 0.566328
0.1775 0.568697
0.18 0.571027
0.1825 0.57332
0.185 0.575577
0.1875 0.5778
0.19 0.579988
0.1925 0.582144
0.195 0.584267
0.1975 0.586359
0.2 0.58842
0.2025 0.590452
0.205 0.592454
0.2075 0.594429
0.21 0.596376
0.2125 0.598295
0.215 0.600189
0.2175 0.602057
0.22 0.603901
0.2225 0.605719
0.225 0.607514
0.2275 0.609286
0.23 0.611035
0.2325 0.612762
0.235 0.614467
0.2375 0.616151
0.24 0.617814
0.2425 0.619457
0.245 0.62108
0.2475 0.622684
0.25 0.624269
0.2525 0.625835
0.255 0.627383
0.2575 0.628913
0.26 0.630426
0.2625 0.631922
0.265 0.633401
0.2675 0.634863
0.27 0.63631
0.2725 0.637741
0.275 0.639156
0.2775 0.640557
0.28 0.641942
0.2825 0.643313
0.285 0.64467
0.2875 0.646013
0.29 0.647342
0.2925 0.648657
0.295 0.64996
0.2975 0.651249
0.3 0.652526
0.3025 0.65379
0.305 0.655042
0.3075 0.656282
0.31 0.65751
0.3125 0.658727
0.315 0.659932
0.3175 0.661126
0.32 0.662309
0.3225 0.663481
0.325 0.664643
0.3275 0.665794
0.33 0.666935
0.3325 0.668066
0.335 0.669187
0.3375 0.670298
0.34 0.671399
0.3425 0.672491
0.345 0.673574
0.3475 0.674648
0.35 0.675713
0.3525 0.676769
0.355 0.677816
0.3575 0.678855
0.36 0.679885
0.3625 0.680908
0.365 0.681922
0.3675 0.682928
0.37 0.683926
0.3725 0.684916
0.375 0.685899
0.3775 0.686874
0.38 0.687842
0.3825 0.688802
0.385 0.689756
0.3875 0.690702
0.39 0.691641
0.3925 0.692574
0.395 0.693499
0.3975 0.694418
0.4 0.695331
0.4025 0.696237
0.405 0.697137
0.4075 0.69803
0.41 0.698917
0.4125 0.699798
0.415 0.700673
0.4175 0.701543
0.42 0.702406
0.4225 0.703264
0.425 0.704116
0.4275 0.704962
0.43 0.705803
0.4325 0.706639
0.435 0.707469
0.4375 0.708294
0.44 0.709113
0.4425 0.709928
0.445 0.710737
0.4475 0.711542
0.45 0.712341
0.4525 0.713136
0.455 0.713926
0.4575 0.714711
0.46 0.715492
0.4625 0.716268
0.465 0.717039
0.4675 0.717806
0.47 0.718569
0.4725 0.719327
0.475 0.720081
0.4775 0.720831
0.48 0.721577
0.4825 0.722318
0.485 0.723056
0.4875 0.723789
0.49 0.724518
0.4925 0.725244
0.495 0.725966
0.4975 0.726684
0.5 0.727398
0.5025 0.728109
0.505 0.728815
0.5075 0.729519
0.51 0.730218
0.5125 0.730915
0.515 0.731608
0.5175 0.732297
0.52 0.732983
0.5225 0.733666
0.525 0.734345
0.5275 0.735021
0.529999 0.735695
0.532499 0.736364
0.534999 0.737031
0.537499 0.737695
0.539999 0.738356
0.542499 0.739014
0.544999 0.739668
0.547499 0.74032
0.549999 0.740969
0.552499 0.741616
0.554999 0.742259
0.557499 0.7429
0.559999 0.743538
0.562499 0.744173
0.564999 0.744806
0.567499 0.745436
0.569999 0.746064
0.572499 0.746689
0.574999 0.747312
0.577499 0.747932
0.579999 0.74855
0.582499 0.749165
0.584999 0.749778
0.587499 0.750389
0.589999 0.750997
0.592499 0.751603
0.594999 0.752207
0.597499 0.752809
0.599999 0.753409
0.602499 0.754006
0.604999 0.754602
0.607499 0.755195
0.609999 0.755787
0.612499 0.756376
0.614999 0.756963
0.617499 0.757549
0.619999 0.758132
0.622499 0.758714
0.624999 0.759294
0.627499 0.759872
0.629999 0.760448
0.632499 0.761023
0.634999 0.761596
0.637499 0.762167
0.639999 0.762736
0.642499 0.763304
0.644999 0.76387
0.647499 0.764435
0.649999 0.764998
0.652499 0.76556
0.654999 0.76612
0.657499 0.766679
0.659999 0.767236
0.662499 0.767792
0.664999 0.768346
0.667499 0.768899
0.669999 0.769451
0.672499 0.770001
0.674999 0.770551
0.677499 0.771099
0.679999 0.771645
0.682499 0.772191
0.684999 0.772736
0.687499 0.773279
0.689999 0.773821
0.692499 0.774362
0.694999 0.774903
0.697499 0.775442
0.699999 0.77598
0.702499 0.776517
0.704999 0.777054
0.707499 0.777589
0.709999 0.778124
0.712499 0.778657
0.714999 0.77919
0.717499 0.779722
0.719999 0.780254
0.722499 0.780785
0.724999 0.781315
0.727499 0.781844
0.729999 0.782373
0.732499 0.782901
0.734999 0.783429
0.737499 0.783956
0.739999 0.784483
0.742499 0.785009
0.744999 0.785535
0.747499 0.78606
0.749999 0.786585
0.752499 0.78711
0.754999 0.787634
0.757499 0.788158
0.759999 0.788682
