p ratio
0.788329 0.435769
0.79082 0.43657
0.79331 0.437373
0.7958 0.438176
0.79829 0.438982
0.80078 0.439788
0.803271 0.440597
0.805761 0.441406
0.808251 0.442218
0.810741 0.443031
0.813232 0.443847
0.815722 0.444664
0.818212 0.445483
0.820702 0.446304
0.823193 0.447127
0.825683 0.447953
0.828173 0.448781
0.830663 0.449612
0.833153 0.450445
0.835644 0.45128
0.838134 0.452119
0.840624 0.45296
0.843114 0.453804
0.845605 0.454652
0.848095 0.455503
0.850585 0.456357
0.853075 0.457214
0.855566 0.458075
0.858056 0.45894
0.860546 0.459809
0.863036 0.460682
0.865526 0.46156
0.868017 0.462442
0.870507 0.463328
0.872997 0.464219
0.875487 0.465116
0.877978 0.466017
0.880468 0.466925
0.882958 0.467837
0.885448 0.468756
0.887939 0.469681
0.890429 0.470613
0.892919 0.471551
0.895409 0.472497
0.897899 0.47345
0.90039 0.474411
0.90288 0.47538
0.90537 0.476358
0.90786 0.477345
0.910351 0.478341
0.912841 0.479348
0.915331 0.480365
0.917821 0.481393
0.920312 0.482433
0.922802 0.483486
0.925292 0.484552
0.927782 0.485632
0.930273 0.486727
0.932763 0.487838
0.935253 0.488966
0.937743 0.490112
0.940233 0.491277
0.942724 0.492463
0.945214 0.493673
0.947704 0.494906
0.950194 0.496166
0.952685 0.497455
0.955175 0.498775
0.957665 0.50013
0.960155 0.501523
0.962646 0.502958
0.965136 0.504441
0.967626 0.505977
0.970116 0.507574
0.972606 0.509241
0.975097 0.510988
0.977587 0.51283
0.980077 0.514786
0.982567 0.516881
0.985058 0.519152
0.987548 0.521652
0.990038 0.524465
0.992528 0.527743
0.995019 0.531798
0.997509 0.537523
0.999999 0.562849
