t lev
0.00390625 81.15229085
0.00781250 69.44013901
0.01171875 58.43111715
0.01562500 49.54215203
0.01953125 42.69915718
0.02343750 37.43668148
0.02734375 33.31996729
0.03125000 30.02931190
0.03515625 27.34408958
0.03906250 25.11283239
0.04296875 23.22982419
0.04687500 21.61955474
0.05078125 20.22680152
0.05468750 19.01028808
0.05859375 17.93855503
0.06250000 16.98720854
0.06640625 16.13704311
0.07031250 15.37273206
0.07421875 14.68189543
0.07812500 14.05442429
0.08203125 13.48198284
0.08593750 12.95763598
0.08984375 12.47556693
0.09375000 12.03086060
0.09765625 11.61933534
0.10156250 11.23741108
0.10546875 10.88200490
0.10937500 10.55044763
0.11328125 10.24041668
0.11718750 9.94988158
0.12109375 9.67705943
0.12500000 9.42037830
0.12890625 9.17844692
0.13281250 8.95002944
0.13671875 8.73402432
0.14062500 8.52944659
0.14453125 8.33541279
0.14843750 8.15112826
0.15234375 7.97587621
0.15625000 7.80900846
0.16015625 7.64993740
0.16406250 7.49812905
0.16796875 7.35309713
0.17187500 7.21439782
0.17578125 7.08162521
0.17968750 6.95440739
0.18359375 6.83240290
0.18750000 6.71529771
0.19140625 6.60280252
0.19531250 6.49465037
0.19921875 6.39059452
0.20312500 6.29040658
0.20703125 6.19387480
0.21093750 6.10080265
0.21484375 6.01100741
0.21875000 5.92431900
0.22265625 5.84057895
0.22656250 5.75963934
0.23046875 5.68136200
0.23437500 5.60561771
0.23828125 5.53228548
0.24218750 5.46125189
0.24609375 5.39241053
0.25000000 5.32566146
0.25390625 5.26091072
0.25781250 5.19806990
0.26171875 5.13705572
0.26562500 5.07778967
0.26953125 5.02019769
0.27343750 4.96420984
0.27734375 4.90976001
0.28125000 4.85678569
0.28515625 4.80522771
0.28906250 4.75503001
0.29296875 4.70613946
0.29687500 4.65850566
0.30078125 4.61208076
0.30468750 4.56681932
0.30859375 4.52267815
0.31250000 4.47961616
0.31640625 4.43759426
0.32031250 4.39657521
0.32421875 4.35652353
0.32812500 4.31740541
0.33203125 4.27918858
0.33593750 4.24184224
0.33984375 4.20533699
0.34375000 4.16964473
0.34765625 4.13473860
0.35156250 4.10059291
0.35546875 4.06718309
0.35937500 4.03448559
0.36328125 4.00247787
0.36718750 3.97113834
0.37109375 3.94044629
0.37500000 3.91038186
0.37890625 3.88092599
0.38281250 3.85206039
0.38671875 3.82376750
0.39062500 3.79603043
0.39453125 3.76883296
0.39843750 3.74215951
0.40234375 3.71599507
0.40625000 3.69032521
0.41015625 3.66513603
0.41406250 3.64041417
0.41796875 3.61614673
0.42187500 3.59232130
0.42578125 3.56892592
0.42968750 3.54594904
0.43359375 3.52337954
0.43750000 3.50120666
0.44140625 3.47942006
0.44531250 3.45800973
0.44921875 3.43696599
0.45312500 3.41627952
0.45703125 3.39594129
0.46093750 3.37594259
0.46484375 3.35627498
0.46875000 3.33693030
0.47265625 3.31790067
0.47656250 3.29917845
0.48046875 3.28075626
0.48437500 3.26262694
0.48828125 3.24478355
0.49218750 3.22721940
0.49609375 3.20992797
0.50000000 3.19290296
0.50390625 3.17613827
0.50781250 3.15962796
0.51171875 3.14336629
0.51562500 3.12734769
0.51953125 3.11156674
0.52343750 3.09601820
0.52734375 3.08069697
0.53125000 3.06559810
0.53515625 3.05071679
0.53906250 3.03604836
0.54296875 3.02158828
0.54687500 3.00733215
0.55078125 2.99327568
0.55468750 2.97941470
0.55859375 2.96574516
0.56250000 2.95226313
0.56640625 2.93896477
0.57031250 2.92584636
0.57421875 2.91290426
0.57812500 2.90013495
0.58203125 2.88753499
0.58593750 2.87510103
0.58984375 2.86282981
0.59375000 2.85071817
0.59765625 2.83876299
0.60156250 2.82696129
0.60546875 2.81531011
0.60937500 2.80380659
0.61328125 2.79244795
0.61718750 2.78123147
0.62109375 2.77015449
0.62500000 2.75921443
0.62890625 2.74840877
0.63281250 2.73773503
0.63671875 2.72719083
0.64062500 2.71677382
0.64453125 2.70648171
0.64843750 2.69631227
0.65234375 2.68626331
0.65625000 2.67633271
0.66015625 2.66651839
0.66406250 2.65681833
0.66796875 2.64723053
0.67187500 2.63775305
0.67578125 2.62838401
0.67968750 2.61912156
0.68359375 2.60996388
0.68750000 2.60090921
0.69140625 2.59195582
