x lev
0.015625 1
0.03125 1
0.046875 1.00051
0.0625 1.00152
0.078125 1.003
0.09375 1.00493
0.109375 1.0073
0.125 1.01009
0.140625 1.01328
0.15625 1.01686
0.171875 1.02079
0.1875 1.02507
0.203125 1.02968
0.21875 1.0346
0.234375 1.03981
0.25 1.0453
0.265625 1.05105
0.28125 1.05704
0.296875 1.06325
0.3125 1.06968
0.328125 1.0763
0.34375 1.0831
0.359375 1.09007
0.375 1.09718
0.390625 1.10443
0.40625 1.11179
0.421875 1.11926
0.4375 1.12682
0.453125 1.13445
0.46875 1.14214
0.484375 1.14989
0.5 1.15766
0.515625 1.16546
0.53125 1.17326
0.546875 1.18105
0.5625 1.18883
0.578125 1.19657
0.59375 1.20426
0.609375 1.21189
0.625 1.21944
0.640625 1.2269
0.65625 1.23426
0.671875 1.2415
0.6875 1.2486
0.703125 1.25556
0.71875 1.26235
0.734375 1.26896
0.75 1.27537
0.765625 1.28157
0.78125 1.28754
0.796875 1.29325
0.8125 1.29869
0.828125 1.30384
0.84375 1.30867
0.859375 1.31316
0.875 1.31729
0.890625 1.32102
0.90625 1.32433
0.921875 1.32719
0.9375 1.32956
0.953125 1.3314
0.96875 1.33267
0.984375 1.33333
1 1.33333
