t lev
0.01562500 3.55184820
0.03125000 3.78809625
0.04687500 3.87507480
0.06250000 3.82488988
0.07812500 3.68202451
0.09375000 3.49337713
0.10937500 3.29304918
0.12500000 3.10070174
0.14062500 2.92537884
0.15625000 2.76978546
0.17187500 2.63338850
0.18750000 2.51427827
0.20312500 2.41015419
0.21875000 2.31878746
0.23437500 2.23820311
0.25000000 2.16672452
0.26562500 2.10295763
0.28125000 2.04575346
0.29687500 1.99416679
0.31250000 1.94741839
0.32812500 1.90486296
0.34375000 1.86596310
0.35937500 1.83026846
0.37500000 1.79739919
0.39062500 1.76703295
0.40625000 1.73889446
0.42187500 1.71274733
0.43750000 1.68838744
0.45312500 1.66563762
0.46875000 1.64434335
0.48437500 1.62436929
0.50000000 1.60559634
0.51562500 1.58791934
0.53125000 1.57124502
0.54687500 1.55549045
0.56250000 1.54058155
0.57812500 1.52645202
0.59375000 1.51304230
0.60937500 1.50029875
0.62500000 1.48817294
0.64062500 1.47662101
0.65625000 1.46560316
0.67187500 1.45508319
0.68750000 1.44502810
0.70312500 1.43540774
0.71875000 1.42619451
0.73437500 1.41736311
0.75000000 1.40889028
0.76562500 1.40075461
0.78125000 1.39293638
0.79687500 1.38541736
0.81250000 1.37818070
0.82812500 1.37121078
0.84375000 1.36449313
0.85937500 1.35801428
0.87500000 1.35176174
0.89062500 1.34572384
0.90625000 1.33988973
0.92187500 1.33424925
0.93750000 1.32879292
0.95312500 1.32351186
0.96875000 1.31839778
0.98437500 1.31344286
1.00000000 1.30863980
