x lev
0.00390625 1
0.0117188 1
0.0195312 1.00144
0.0273438 1.00667
0.0351562 1.01728
0.0429688 1.03423
0.0507812 1.05803
0.0585938 1.08878
0.0664062 1.12628
0.0742188 1.17013
0.0820312 1.21979
0.0898438 1.27459
0.0976562 1.33382
0.105469 1.39675
0.113281 1.46264
0.121094 1.53077
0.128906 1.60047
0.136719 1.6711
0.144531 1.74205
0.152344 1.8128
0.160156 1.88286
0.167969 1.95181
0.175781 2.01925
0.183594 2.08486
0.191406 2.14837
0.199219 2.20954
0.207031 2.26817
0.214844 2.3241
0.222656 2.37722
0.230469 2.42744
0.238281 2.4747
0.246094 2.51897
0.253906 2.56023
0.261719 2.5985
0.269531 2.63382
0.277344 2.66622
0.285156 2.69577
0.292969 2.72254
0.300781 2.74662
0.308594 2.7681
0.316406 2.78709
0.324219 2.80369
0.332031 2.81802
0.339844 2.83019
0.347656 2.84031
0.355469 2.84851
0.363281 2.85492
0.371094 2.85963
0.378906 2.86279
0.386719 2.86449
0.394531 2.86485
0.402344 2.86399
0.410156 2.862
0.417969 2.85899
0.425781 2.85505
0.433594 2.85029
0.441406 2.84477
0.449219 2.8386
0.457031 2.83183
0.464844 2.82455
0.472656 2.81682
0.480469 2.8087
0.488281 2.80025
0.496094 2.79152
0.503906 2.78256
0.511719 2.77341
0.519531 2.7641
0.527344 2.75468
0.535156 2.74516
0.542969 2.73559
0.550781 2.72598
0.558594 2.71636
0.566406 2.70674
0.574219 2.69714
0.582031 2.68757
0.589844 2.67804
0.597656 2.66857
0.605469 2.65916
0.613281 2.64982
0.621094 2.64055
0.628906 2.63136
0.636719 2.62225
0.644531 2.61323
0.652344 2.6043
0.660156 2.59545
0.667969 2.58669
0.675781 2.57802
0.683594 2.56943
0.691406 2.56094
0.699219 2.55254
0.707031 2.54422
0.714844 2.53599
0.722656 2.52784
0.730469 2.51978
0.738281 2.51181
0.746094 2.50391
0.753906 2.4961
0.761719 2.48837
0.769531 2.48072
0.777344 2.47315
0.785156 2.46565
0.792969 2.45823
0.800781 2.45088
0.808594 2.44361
0.816406 2.43641
0.824219 2.42928
0.832031 2.42222
0.839844 2.41523
0.847656 2.40831
0.855469 2.40146
0.863281 2.39467
0.871094 2.38795
0.878906 2.38129
0.886719 2.3747
0.894531 2.36817
0.902344 2.3617
0.910156 2.35529
0.917969 2.34895
0.925781 2.34266
0.933594 2.33643
0.941406 2.33025
0.949219 2.32414
0.957031 2.31808
0.964844 2.31207
0.972656 2.30612
0.980469 2.30023
0.988281 2.29438
0.996094 2.28859
1 2.28571
