x lev
0.015625 1
0.03125 1
0.046875 1
0.0625 1.02578
0.078125 1.08665
0.09375 1.18199
0.109375 1.30588
0.125 1.45024
0.140625 1.60673
0.15625 1.76777
0.171875 1.92703
0.1875 2.07958
0.203125 2.22178
0.21875 2.35118
0.234375 2.46628
0.25 2.5664
0.265625 2.65149
0.28125 2.72198
0.296875 2.77866
0.3125 2.82259
0.328125 2.85497
0.34375 2.8771
0.359375 2.89032
0.375 2.89593
0.390625 2.89519
0.40625 2.88924
0.421875 2.87913
0.4375 2.86577
0.453125 2.84997
0.46875 2.83238
0.484375 2.81357
0.5 2.79396
0.515625 2.77391
0.53125 2.75368
0.546875 2.73347
0.5625 2.71342
0.578125 2.69362
0.59375 2.67414
0.609375 2.65503
0.625 2.63629
0.640625 2.61794
0.65625 2.59998
0.671875 2.58241
0.6875 2.56521
0.703125 2.54839
0.71875 2.53191
0.734375 2.51579
0.75 2.5
0.765625 2.48454
0.78125 2.46939
0.796875 2.45455
0.8125 2.44
0.828125 2.42574
0.84375 2.41176
0.859375 2.39806
0.875 2.38462
0.890625 2.37143
0.90625 2.35849
0.921875 2.34579
0.9375 2.33333
0.953125 2.3211
0.96875 2.30909
0.984375 2.2973
1 2.28571
