p hbefore scorrect swrong sexpected hcorrect hwrong hexpected
0.21309 15.4719 0.721328 1.34571 0.966997 13.6357 15 14.1725
0.215596 15.4594 0.718351 1.35031 0.96621 13.6086 15 14.1543
0.218102 15.4466 0.71538 1.35492 0.965413 13.5813 15 14.1359
0.220607 15.4337 0.712415 1.35956 0.964607 13.5538 15 14.1174
0.223113 15.4207 0.709456 1.3642 0.963792 13.5262 15 14.0987
0.225619 15.4075 0.706504 1.36886 0.962967 13.4984 15 14.0798
0.228125 15.3941 0.703557 1.37354 0.962132 13.4704 15 14.0607
0.23063 15.3806 0.700616 1.37823 0.961288 13.4423 15 14.0415
0.233136 15.3669 0.697682 1.38294 0.960434 13.414 15 14.0221
0.235642 15.3531 0.694753 1.38766 0.959571 13.3855 15 14.0025
0.238148 15.3392 0.69183 1.39239 0.958698 13.3569 15 13.9828
0.240653 15.325 0.688913 1.39715 0.957815 13.3281 15 13.9629
0.243159 15.3108 0.686002 1.40192 0.956923 13.2992 15 13.9428
0.245665 15.2963 0.683097 1.4067 0.956021 13.2701 15 13.9226
0.248171 15.2818 0.680198 1.4115 0.95511 13.2409 15 13.9022
0.250676 15.267 0.677305 1.41632 0.954189 13.2116 15 13.8816
0.253182 15.2521 0.674417 1.42115 0.953258 13.182 15 13.8609
0.255688 15.2371 0.671535 1.426 0.952317 13.1524 15 13.84
0.258194 15.2219 0.668659 1.43086 0.951367 13.1226 15 13.8189
0.260699 15.2065 0.665788 1.43575 0.950408 13.0926 15 13.7977
0.263205 15.191 0.662924 1.44064 0.949438 13.0625 15 13.7763
0.265711 15.1753 0.660065 1.44556 0.948459 13.0323 15 13.7547
0.268217 15.1595 0.657211 1.45049 0.94747 13.0019 15 13.733
0.270723 15.1435 0.654364 1.45544 0.946471 12.9714 15 13.7111
0.273228 15.1274 0.651521 1.4604 0.945462 12.9408 15 13.6891
0.275734 15.1111 0.648685 1.46539 0.944444 12.91 15 13.6669
0.27824 15.0947 0.645854 1.47039 0.943416 12.8791 15 13.6445
0.280746 15.078 0.643028 1.4754 0.942378 12.8481 15 13.622
0.283251 15.0613 0.640208 1.48044 0.94133 12.817 15 13.5993
0.285757 15.0444 0.637394 1.48549 0.940272 12.7857 15 13.5765
0.288263 15.0273 0.634585 1.49056 0.939205 12.7543 15 13.5535
0.290769 15.01 0.631782 1.49565 0.938127 12.7227 15 13.5303
0.293274 14.9926 0.628984 1.50076 0.93704 12.6911 15 13.507
0.29578 14.9751 0.626191 1.50588 0.935943 12.6593 15 13.4835
0.298286 14.9574 0.623404 1.51102 0.934836 12.6274 15 13.4599
0.300792 14.9395 0.620622 1.51618 0.933719 12.5954 15 13.4361
0.303297 14.9215 0.617845 1.52136 0.932592 12.5633 15 13.4121
0.305803 14.9033 0.615074 1.52656 0.931455 12.531 15 13.388
0.308309 14.8849 0.612308 1.53178 0.930308 12.4986 15 13.3637
0.310815 14.8664 0.609548 1.53701 0.929151 12.4662 15 13.3393
0.313321 14.8477 0.606792 1.54227 0.927984 12.4336 15 13.3147
0.315826 14.8289 0.604042 1.54754 0.926807 12.4009 15 13.29
0.318332 14.8099 0.601298 1.55284 0.925619 12.368 15 13.2651
0.320838 14.7908 0.598558 1.55815 0.924422 12.3351 15 13.2401
0.323344 14.7714 0.595824 1.56348 0.923215 12.3021 15 13.2149
0.325849 14.752 0.593094 1.56884 0.921997 12.2689 15 13.1895
0.328355 14.7323 0.59037 1.57421 0.92077 12.2357 15 13.164
0.330861 14.7125 0.587651 1.5796 0.919532 12.2023 15 13.1384
0.333367 14.6925 0.584937 1.58501 0.918284 12.1689 15 13.1125
0.335872 14.6724 0.582229 1.59045 0.917026 12.1353 15 13.0866
0.338378 14.6521 0.579525 1.5959 0.915758 12.1016 15 13.0605
0.340884 14.6317 0.576826 1.60137 0.914479 12.0679 15 13.0342
0.34339 14.611 0.574133 1.60687 0.913191 12.034 15 13.0078
0.345895 14.5903 0.571444 1.61238 0.911891 12 15 12.9812
0.348401 14.5693 0.568761 1.61792 0.910582 11.966 15 12.9545
0.350907 14.5482 0.566082 1.62348 0.909262 11.9318 15 12.9276
0.353413 14.5269 0.563409 1.62906 0.907932 11.8975 15 12.9006
0.355919 14.5055 0.56074 1.63466 0.906592 11.8632 15 12.8734
0.358424 14.4839 0.558076 1.64029 0.905241 11.8287 15 12.8461
0.36093 14.4621 0.555417 1.64593 0.90388 11.7942 15 12.8186
0.363436 14.4401 0.552763 1.6516 0.902509 11.7596 15 12.791
0.365942 14.418 0.550114 1.65729 0.901127 11.7248 15 12.7632
0.368447 14.3958 0.54747 1.663 0.899734 11.69 15 12.7352
0.370953 14.3733 0.544831 1.66874 0.898332 11.6551 15 12.7072
0.373459 14.3507 0.542196 1.6745 0.896918 11.6201 15 12.6789
0.375965 14.3279 0.539567 1.68028 0.895494 11.585 15 12.6506
0.37847 14.305 0.536942 1.68608 0.89406 11.5498 15 12.622
0.380976 14.2818 0.534321 1.69191 0.892615 11.5146 15 12.5934
0.383482 14.2585 0.531706 1.69776 0.891159 11.4792 15 12.5645
0.385988 14.2351 0.529095 1.70364 0.889693 11.4438 15 12.5356
0.388493 14.2115 0.526489 1.70954 0.888216 11.4083 15 12.5065
0.390999 14.1877 0.523888 1.71546 0.886728 11.3727 15 12.4772
0.393505 14.1637 0.521291 1.72141 0.88523 11.337 15 12.4478
0.396011 14.1395 0.518699 1.72738 0.883721 11.3012 15 12.4182
0.398517 14.1152 0.516112 1.73338 0.882201 11.2653 15 12.3885
0.401022 14.0907 0.513529 1.7394 0.880671 11.2294 15 12.3587
0.403528 14.0661 0.510951 1.74545 0.879129 11.1934 15 12.3287
0.406034 14.0412 0.508378 1.75153 0.877577 11.1573 15 12.2985
0.40854 14.0162 0.505809 1.75762 0.876014 11.1211 15 12.2682
0.411045 13.991 0.503245 1.76375 0.874441 11.0848 15 12.2378
0.413551 13.9657 0.500685 1.7699 0.872856 11.0485 15 12.2072
0.416057 13.9402 0.49813 1.77608 0.87126 11.0121 15 12.1765
0.418563 13.9145 0.495579 1.78228 0.869654 10.9756 15 12.1456
0.421068 13.8886 0.493033 1.78851 0.868036 10.939 15 12.1145
0.423574 13.8625 0.490491 1.79477 0.866407 10.9024 15 12.0834
0.42608 13.8363 0.487954 1.80106 0.864768 10.8656 15 12.0521
0.428586 13.8099 0.485421 1.80737 0.863117 10.8288 15 12.0206
0.431091 13.7833 0.482893 1.81371 0.861455 10.792 15 11.989
0.433597 13.7565 0.480369 1.82008 0.859782 10.755 15 11.9572
0.436103 13.7296 0.477849 1.82647 0.858098 10.718 15 11.9253
0.438609 13.7024 0.475334 1.8329 0.856403 10.6809 15 11.8933
0.441115 13.6751 0.472824 1.83935 0.854696 10.6437 15 11.8611
0.44362 13.6477 0.470317 1.84584 0.852978 10.6065 15 11.8287
0.446126 13.62 0.467815 1.85235 0.851249 10.5692 15 11.7963
0.448632 13.5921 0.465317 1.85889 0.849509 10.5318 15 11.7636
0.451138 13.5641 0.462824 1.86546 0.847757 10.4944 15 11.7309
0.453643 13.5359 0.460335 1.87206 0.845994 10.4568 15 11.6979
0.456149 13.5075 0.45785 1.87869 0.84422 10.4192 15 11.6649
0.458655 13.4789 0.45537 1.88536 0.842434 10.3816 15 11.6317
0.461161 13.4502 0.452893 1.89205 0.840637 10.3438 15 11.5983
0.463666 13.4212 0.450421 1.89878 0.838828 10.306 15 11.5648
0.466172 13.3921 0.447953 1.90553 0.837007 10.2682 15 11.5312
0.468678 13.3628 0.44549 1.91232 0.835175 10.2302 15 11.4974
0.471184 13.3333 0.443031 1.91914 0.833332 10.1922 15 11.4635
0.473689 13.3036 0.440575 1.92599 0.831476 10.1542 15 11.4294
0.476195 13.2738 0.438124 1.93288 0.82961 10.116 15 11.3952
0.478701 13.2437 0.435677 1.93979 0.827731 10.0778 15 11.3608
0.481207 13.2134 0.433235 1.94675 0.82584 10.0396 15 11.3263
0.483713 13.183 0.430796 1.95373 0.823938 10.0012 15 11.2916
0.486218 13.1524 0.428362 1.96075 0.822024 9.96282 15 11.2568
0.488724 13.1216 0.425931 1.9678 0.820098 9.92435 15 11.2219
0.49123 13.0906 0.423505 1.97489 0.818161 9.88582 15 11.1868
0.493736 13.0594 0.421083 1.98202 0.816211 9.84723 15 11.1516
0.496241 13.028 0.418665 1.98917 0.814249 9.80857 15 11.1162
0.498747 12.9964 0.41625 1.99637 0.812276 9.76984 15 11.0807
0.501253 12.9646 0.41384 2.0036 0.81029 9.73105 15 11.045
0.503759 12.9327 0.411434 2.01086 0.808292 9.6922 15 11.0092
0.506264 12.9005 0.409032 2.01817 0.806282 9.65329 15 10.9732
0.50877 12.8682 0.406634 2.02551 0.80426 9.61431 15 10.9371
0.511276 12.8356 0.40424 2.03289 0.802225 9.57527 15 10.9009
0.513782 12.8029 0.40185 2.0403 0.800179 9.53616 15 10.8645
0.516287 12.7699 0.399464 2.04776 0.79812 9.497 15 10.828
0.518793 12.7368 0.397081 2.05525 0.796048 9.45777 15 10.7913
0.521299 12.7034 0.394703 2.06278 0.793965 9.41848 15 10.7544
0.523805 12.6699 0.392329 2.07035 0.791868 9.37913 15 10.7175
0.526311 12.6362 0.389958 2.07796 0.78976 9.33971 15 10.6803
0.528816 12.6022 0.387592 2.08562 0.787639 9.30024 15 10.6431
0.531322 12.5681 0.385229 2.09331 0.785505 9.2607 15 10.6057
0.533828 12.5337 0.38287 2.10104 0.783358 9.2211 15 10.5681
0.536334 12.4992 0.380515 2.10882 0.781199 9.18144 15 10.5304
0.538839 12.4644 0.378164 2.11664 0.779028 9.14172 15 10.4925
0.541345 12.4295 0.375817 2.1245 0.776843 9.10194 15 10.4546
0.543851 12.3943 0.373473 2.1324 0.774646 9.0621 15 10.4164
0.546357 12.359 0.371133 2.14035 0.772436 9.0222 15 10.3781
0.548862 12.3234 0.368797 2.14834 0.770213 8.98224 15 10.3397
0.551368 12.2876 0.366465 2.15637 0.767976 8.94222 15 10.3011
0.553874 12.2516 0.364137 2.16445 0.765727 8.90213 15 10.2624
0.55638 12.2154 0.361812 2.17258 0.763465 8.86199 15 10.2235
0.558885 12.179 0.359491 2.18075 0.76119 8.82179 15 10.1845
0.561391 12.1424 0.357174 2.18897 0.758901 8.78152 15 10.1453
0.563897 12.1056 0.354861 2.19724 0.7566 8.7412 15 10.106
0.566403 12.0686 0.352551 2.20555 0.754285 8.70082 15 10.0665
0.568909 12.0313 0.350245 2.21391 0.751956 8.66038 15 10.0269
0.571414 11.9938 0.347942 2.22232 0.749615 8.61987 15 9.98711
0.57392 11.9562 0.345644 2.23078 0.74726 8.57931 15 9.94719
0.576426 11.9183 0.343349 2.23929 0.744891 8.53869 15 9.90713
0.578932 11.8801 0.341057 2.24785 0.742509 8.498 15 9.86692
0.581437 11.8418 0.338769 2.25646 0.740113 8.45726 15 9.82655
0.583943 11.8033 0.336485 2.26513 0.737703 8.41646 15 9.78604
0.586449 11.7645 0.334205 2.27384 0.73528 8.37559 15 9.74538
0.588955 11.7255 0.331928 2.28261 0.732843 8.33467 15 9.70457
0.59146 11.6863 0.329654 2.29143 0.730392 8.29369 15 9.66361
0.593966 11.6468 0.327385 2.30031 0.727927 8.25265 15 9.62249
0.596472 11.6072 0.325118 2.30924 0.725448 8.21154 15 9.58123
0.598978 11.5673 0.322856 2.31822 0.722955 8.17038 15 9.53981
0.601483 11.5272 0.320597 2.32727 0.720448 8.12915 15 9.49825
0.603989 11.4868 0.318341 2.33637 0.717927 8.08787 15 9.45653
0.606495 11.4463 0.316089 2.34552 0.715391 8.04652 15 9.41466
0.609001 11.4055 0.31384 2.35474 0.712842 8.00512 15 9.37264
0.611507 11.3644 0.311595 2.36402 0.710277 7.96365 15 9.33046
0.614012 11.3232 0.309354 2.37335 0.707699 7.92212 15 9.28813
0.616518 11.2817 0.307116 2.38275 0.705105 7.88053 15 9.24565
0.619024 11.24 0.304881 2.39221 0.702497 7.83888 15 9.20301
0.62153 11.198 0.30265 2.40173 0.699875 7.79717 15 9.16022
0.624035 11.1558 0.300422 2.41131 0.697238 7.7554 15 9.11728
0.626541 11.1134 0.298198 2.42096 0.694585 7.71356 15 9.07418
0.629047 11.0707 0.295977 2.43067 0.691918 7.67166 15 9.03092
0.631553 11.0278 0.293759 2.44045 0.689236 7.62971 15 8.98751
0.634058 10.9846 0.291545 2.45029 0.686539 7.58768 15 8.94394
0.636564 10.9412 0.289335 2.46021 0.683827 7.5456 15 8.90022
0.63907 10.8976 0.287127 2.47019 0.681099 7.50345 15 8.85634
0.641576 10.8537 0.284924 2.48024 0.678357 7.46124 15 8.8123
0.644081 10.8096 0.282723 2.49036 0.675598 7.41896 15 8.7681
0.646587 10.7652 0.280526 2.50055 0.672825 7.37663 15 8.72375
0.649093 10.7206 0.278332 2.51082 0.670035 7.33422 15 8.67923
0.651599 10.6757 0.276141 2.52116 0.66723 7.29176 15 8.63456
0.654105 10.6306 0.273954 2.53157 0.66441 7.24923 15 8.58973
0.65661 10.5852 0.27177 2.54206 0.661573 7.20663 15 8.54473
0.659116 10.5395 0.26959 2.55263 0.658721 7.16397 15 8.49958
0.661622 10.4936 0.267412 2.56327 0.655852 7.12124 15 8.45426
0.664128 10.4475 0.265238 2.57399 0.652968 7.07845 15 8.40879
0.666633 10.4011 0.263068 2.5848 0.650067 7.03559 15 8.36315
0.669139 10.3544 0.2609 2.59568 0.64715 6.99267 15 8.31734
0.671645 10.3075 0.258736 2.60665 0.644216 6.94967 15 8.27138
0.674151 10.2603 0.256575 2.6177 0.641267 6.90661 15 8.22525
0.676656 10.2128 0.254417 2.62884 0.6383 6.86348 15 8.17895
0.679162 10.1651 0.252263 2.64006 0.635317 6.82029 15 8.13249
0.681668 10.1171 0.250111 2.65137 0.632317 6.77702 15 8.08586
0.684174 10.0688 0.247963 2.66277 0.6293 6.73369 15 8.03907
0.686679 10.0202 0.245818 2.67427 0.626265 6.69028 15 7.99211
0.689185 9.97143 0.243677 2.68585 0.623214 6.64681 15 7.94498
0.691691 9.92233 0.241538 2.69753 0.620146 6.60326 15 7.89768
0.694197 9.87296 0.239403 2.7093 0.61706 6.55965 15 7.85021
0.696703 9.82331 0.23727 2.72117 0.613957 6.51596 15 7.80257
0.699208 9.77337 0.235141 2.73314 0.610836 6.4722 15 7.75477
0.701714 9.72315 0.233015 2.74521 0.607697 6.42837 15 7.70679
0.70422 9.67265 0.230892 2.75738 0.604541 6.38446 15 7.65863
0.706726 9.62186 0.228773 2.76965 0.601366 6.34048 15 7.61031
0.709231 9.57078 0.226656 2.78203 0.598174 6.29642 15 7.56181
0.711737 9.51941 0.224543 2.79452 0.594963 6.25229 15 7.51313
0.714243 9.46774 0.222432 2.80712 0.591734 6.20809 15 7.46428
0.716749 9.41578 0.220325 2.81982 0.588486 6.1638 15 7.41525
0.719254 9.36352 0.218221 2.83264 0.58522 6.11944 15 7.36605
0.72176 9.31096 0.216119 2.84558 0.581935 6.075 15 7.31667
0.724266 9.2581 0.214021 2.85863 0.578631 6.03049 15 7.26711
0.726772 9.20493 0.211926 2.8718 0.575308 5.98589 15 7.21736
0.729277 9.15145 0.209834 2.88509 0.571966 5.94121 15 7.16744
0.731783 9.09767 0.207745 2.89851 0.568604 5.89646 15 7.11734
0.734289 9.04357 0.205659 2.91205 0.565223 5.85162 15 7.06705
0.736795 8.98916 0.203576 2.92572 0.561823 5.80669 15 7.01658
0.739301 8.93443 0.201496 2.93952 0.558402 5.76169 15 6.96592
0.741806 8.87938 0.199419 2.95345 0.554962 5.7166 15 6.91507
0.744312 8.82401 0.197345 2.96752 0.551501 5.67142 15 6.86404
0.746818 8.76832 0.195274 2.98173 0.54802 5.62616 15 6.81282
0.749324 8.7123 0.193206 2.99608 0.544519 5.58081 15 6.76141
0.751829 8.65594 0.191141 3.01057 0.540996 5.53537 15 6.70981
0.754335 8.59926 0.189079 3.02521 0.537454 5.48985 15 6.65802
0.756841 8.54223 0.18702 3.04001 0.53389 5.44423 15 6.60604
0.759347 8.48487 0.184963 3.05495 0.530304 5.39852 15 6.55386
0.761852 8.42717 0.18291 3.07005 0.526698 5.35273 15 6.50148
0.764358 8.36912 0.180859 3.08531 0.52307 5.30683 15 6.44891
0.766864 8.31072 0.178812 3.10073 0.51942 5.26084 15 6.39614
0.76937 8.25197 0.176767 3.11632 0.515748 5.21476 15 6.34317
0.771875 8.19286 0.174726 3.13208 0.512054 5.16858 15 6.28999
0.774381 8.1334 0.172687 3.14802 0.508337 5.1223 15 6.23662
0.776887 8.07357 0.170651 3.16413 0.504598 5.07593 15 6.18304
0.779393 8.01338 0.168618 3.18043 0.500836 5.02945 15 6.12925
0.781898 7.95282 0.166588 3.19691 0.497051 4.98287 15 6.07526
0.784404 7.89188 0.16456 3.21358 0.493243 4.93618 15 6.02106
0.78691 7.83057 0.162536 3.23044 0.489411 4.88939 15 5.96665
0.789416 7.76888 0.160514 3.24751 0.485555 4.8425 15 5.91202
0.791922 7.70681 0.158495 3.26478 0.481675 4.7955 15 5.85718
0.794427 7.64434 0.156479 3.28226 0.477771 4.74838 15 5.80213
0.796933 7.58148 0.154466 3.29995 0.473843 4.70116 15 5.74685
0.799439 7.51823 0.152455 3.31786 0.469889 4.65383 15 5.69136
0.801945 7.45457 0.150448 3.336 0.465911 4.60638 15 5.63565
0.80445 7.39051 0.148443 3.35437 0.461907 4.55881 15 5.57971
0.806956 7.32603 0.146441 3.37298 0.457877 4.51113 15 5.52355
0.809462 7.26115 0.144442 3.39183 0.453822 4.46332 15 5.46716
0.811968 7.19584 0.142445 3.41093 0.44974 4.4154 15 5.41054
0.814473 7.1301 0.140451 3.43028 0.445631 4.36735 15 5.35368
0.816979 7.06394 0.13846 3.4499 0.441496 4.31917 15 5.2966
0.819485 6.99733 0.136472 3.46979 0.437333 4.27087 15 5.23927
0.821991 6.93029 0.134487 3.48995 0.433143 4.22244 15 5.18171
0.824496 6.8628 0.132504 3.51041 0.428925 4.17388 15 5.1239
0.827002 6.79486 0.130524 3.53115 0.424679 4.12518 15 5.06585
0.829508 6.72646 0.128546 3.5522 0.420404 4.07634 15 5.00756
0.832014 6.65759 0.126572 3.57356 0.4161 4.02737 15 4.94901
0.83452 6.58826 0.1246 3.59525 0.411766 3.97826 15 4.89021
0.837025 6.51844 0.12263 3.61726 0.407403 3.929 15 4.83116
0.839531 6.44815 0.120664 3.63961 0.403009 3.87959 15 4.77184
0.842037 6.37736 0.1187 3.66232 0.398585 3.83003 15 4.71227
0.844543 6.30607 0.116739 3.68539 0.394129 3.78033 15 4.65243
0.847048 6.23428 0.11478 3.70883 0.389642 3.73046 15 4.59232
0.849554 6.16197 0.112824 3.73266 0.385123 3.68044 15 4.53194
0.85206 6.08914 0.110871 3.75689 0.380572 3.63026 15 4.47129
0.854566 6.01579 0.10892 3.78154 0.375987 3.57991 15 4.41036
0.857071 5.9419 0.106972 3.80661 0.371369 3.52939 15 4.34914
0.859577 5.86746 0.105027 3.83213 0.366716 3.4787 15 4.28764
0.862083 5.79246 0.103084 3.85811 0.362029 3.42783 15 4.22584
0.864589 5.7169 0.101144 3.88456 0.357307 3.37678 15 4.16375
0.867094 5.64077 0.0992066 3.91151 0.352548 3.32555 15 4.10137
0.8696 5.56406 0.0972717 3.93896 0.347753 3.27414 15 4.03867
0.872106 5.48674 0.0953394 3.96696 0.342921 3.22253 15 3.97567
0.874612 5.40883 0.0934096 3.9955 0.338052 3.17072 15 3.91236
0.877118 5.33029 0.0914824 4.02463 0.333143 3.11871 15 3.84872
0.879623 5.25113 0.0895578 4.05435 0.328196 3.06649 15 3.78476
0.882129 5.17133 0.0876358 4.0847 0.323208 3.01407 15 3.72047
0.884635 5.09087 0.0857163 4.1157 0.31818 2.96142 15 3.65585
0.887141 5.00975 0.0837994 4.14738 0.31311 2.90856 15 3.59088
0.889646 4.92795 0.081885 4.17977 0.307997 2.85546 15 3.52557
0.892152 4.84545 0.0799732 4.21291 0.302841 2.80213 15 3.4599
0.894658 4.76224 0.0780638 4.24682 0.29764 2.74856 15 3.39386
0.897164 4.67831 0.0761571 4.28156 0.292394 2.69474 15 3.32746
0.899669 4.59363 0.0742528 4.31714 0.287102 2.64066 15 3.26068
0.902175 4.50819 0.072351 4.35363 0.281762 2.58632 15 3.19352
0.904681 4.42198 0.0704517 4.39107 0.276373 2.53171 15 3.12596
0.907187 4.33496 0.068555 4.4295 0.270935 2.47683 15 3.05799
0.909692 4.24713 0.0666607 4.46899 0.265445 2.42165 15 2.98962
0.912198 4.15845 0.0647689 4.50958 0.259903 2.36618 15 2.92082
0.914704 4.06891 0.0628796 4.55136 0.254307 2.3104 15 2.85159
0.91721 3.97849 0.0609928 4.59437 0.248655 2.2543 15 2.78191
0.919716 3.88715 0.0591084 4.63871 0.242947 2.19787 15 2.71178
0.922221 3.79487 0.0572264 4.68446 0.237179 2.1411 15 2.64118
0.924727 3.70162 0.055347 4.7317 0.231351 2.08398 15 2.5701
0.927233 3.60737 0.05347 4.78055 0.225461 2.02649 15 2.49852
