x b0 b1 b2 b3
0.65 0.042875 0.238875 0.443625 0.274625
0.655 0.0410636 0.233884 0.444041 0.281011
0.66 0.039304 0.228888 0.444312 0.287496
0.665 0.0375954 0.223889 0.444436 0.29408
0.67 0.035937 0.218889 0.444411 0.300763
0.675 0.0343281 0.213891 0.444234 0.307547
0.68 0.032768 0.208896 0.443904 0.314432
0.685 0.0312559 0.203907 0.443418 0.321419
0.69 0.029791 0.198927 0.442773 0.328509
0.695 0.0283726 0.193957 0.441968 0.335702
0.7 0.027 0.189 0.441 0.343
0.705 0.0256724 0.184058 0.439867 0.350403
0.71 0.024389 0.179133 0.438567 0.357911
0.715 0.0231491 0.174228 0.437097 0.365526
0.72 0.021952 0.169344 0.435456 0.373248
0.725 0.0207969 0.164484 0.433641 0.381078
0.73 0.019683 0.159651 0.431649 0.389017
0.735 0.0186096 0.154846 0.429479 0.397065
0.74 0.017576 0.150072 0.427128 0.405224
0.745 0.0165814 0.145331 0.424594 0.413494
0.75 0.015625 0.140625 0.421875 0.421875
0.755 0.0147061 0.135957 0.418968 0.430369
0.76 0.013824 0.131328 0.415872 0.438976
0.765 0.0129779 0.126741 0.412584 0.447697
0.77 0.012167 0.122199 0.409101 0.456533
0.775 0.0113906 0.117703 0.405422 0.465484
0.78 0.010648 0.113256 0.401544 0.474552
0.785 0.00993837 0.10886 0.397465 0.483737
0.79 0.009261 0.104517 0.393183 0.493039
0.795 0.00861512 0.10023 0.388695 0.50246
0.8 0.008 0.096 0.384 0.512
0.805 0.00741487 0.0918304 0.379095 0.52166
0.81 0.006859 0.087723 0.373977 0.531441
0.815 0.00633163 0.0836801 0.368645 0.541343
0.82 0.005832 0.079704 0.363096 0.551368
0.825 0.00535938 0.0757969 0.357328 0.561516
0.83 0.004913 0.071961 0.351339 0.571787
0.835 0.00449213 0.0681986 0.345126 0.582183
0.84 0.004096 0.064512 0.338688 0.592704
0.845 0.00372388 0.0609034 0.332022 0.603351
0.85 0.003375 0.057375 0.325125 0.614125
0.855 0.00304863 0.0539291 0.317996 0.625026
0.86 0.002744 0.050568 0.310632 0.636056
0.865 0.00246038 0.0472939 0.303031 0.647215
0.87 0.002197 0.044109 0.295191 0.658503
0.875 0.00195312 0.0410156 0.287109 0.669922
0.88 0.001728 0.038016 0.278784 0.681472
0.885 0.00152087 0.0351124 0.270213 0.693154
0.89 0.001331 0.032307 0.261393 0.704969
0.895 0.00115762 0.0296021 0.252323 0.716917
0.9 0.001 0.027 0.243 0.729
0.905 0.000857375 0.0245029 0.233422 0.741218
0.91 0.000729 0.022113 0.223587 0.753571
0.915 0.000614125 0.0198326 0.213492 0.766061
0.92 0.000512 0.017664 0.203136 0.778688
0.925 0.000421875 0.0156094 0.192516 0.791453
0.93 0.000343 0.013671 0.181629 0.804357
0.935 0.000274625 0.0118511 0.170474 0.8174
0.94 0.000216 0.010152 0.159048 0.830584
0.945 0.000166375 0.00857588 0.147349 0.843909
0.95 0.000125 0.007125 0.135375 0.857375
0.955 9.1125e-05 0.00580163 0.123123 0.870984
0.96 6.4e-05 0.004608 0.110592 0.884736
0.965 4.2875e-05 0.00354638 0.0977786 0.898632
0.97 2.7e-05 0.002619 0.084681 0.912673
0.975 1.5625e-05 0.00182813 0.0712969 0.926859
0.98 8e-06 0.001176 0.057624 0.941192
0.985 3.375e-06 0.000664875 0.0436601 0.955672
0.99 1e-06 0.000297 0.029403 0.970299
0.995 1.25e-07 7.4625e-05 0.0148504 0.985075
1 0 0 0 1
