p ratio
0.817499 0.8871
0.819999 0.887436
0.822499 0.887772
0.824999 0.888109
0.827499 0.888447
0.829999 0.888785
0.832499 0.889125
0.834999 0.889465
0.837499 0.889805
0.839999 0.890147
0.842499 0.89049
0.844999 0.890833
0.847499 0.891178
0.849999 0.891524
0.852499 0.891871
0.854999 0.892219
0.857499 0.892568
0.859999 0.892919
0.862499 0.893271
0.864999 0.893625
0.867499 0.89398
0.869999 0.894337
0.872499 0.894696
0.874999 0.895057
0.877499 0.895419
0.879999 0.895783
0.882499 0.89615
0.884999 0.896519
0.887499 0.89689
0.889999 0.897264
0.892499 0.89764
0.894999 0.898019
0.897499 0.898401
0.899999 0.898786
0.902499 0.899174
0.904999 0.899565
0.907499 0.89996
0.909999 0.900359
0.912499 0.900762
0.914999 0.901169
0.917499 0.90158
0.919999 0.901996
0.922499 0.902417
0.924999 0.902844
0.927499 0.903276
0.929999 0.903714
0.932499 0.904159
0.934999 0.904611
0.937499 0.90507
0.939999 0.905538
0.942499 0.906013
0.944999 0.906499
0.947499 0.906994
0.949999 0.9075
0.952499 0.908019
0.954999 0.908551
0.957499 0.909097
0.959999 0.909659
0.962499 0.91024
0.964999 0.91084
0.967499 0.911463
0.969999 0.912112
0.972499 0.912791
0.974999 0.913504
0.977499 0.914258
0.979999 0.915062
0.982499 0.915926
0.984999 0.916866
0.987499 0.917906
0.989999 0.919085
0.992499 0.920469
0.994999 0.922198
0.997499 0.924679
0.999999 0.936376
