x lev
0.152344 7.99489
0.160156 7.67054
0.167969 7.37494
0.175781 7.10443
0.183594 6.85594
0.191406 6.62689
0.199219 6.41508
0.207031 6.21864
0.214844 6.03595
0.222656 5.86562
0.230469 5.70644
0.238281 5.55734
0.246094 5.4174
0.253906 5.2858
0.261719 5.16181
0.269531 5.04479
0.277344 4.93418
0.285156 4.82945
0.292969 4.73016
0.300781 4.63588
0.308594 4.54625
0.316406 4.46093
0.324219 4.37963
0.332031 4.30205
0.339844 4.22796
0.347656 4.15712
0.355469 4.08932
0.363281 4.02437
0.371094 3.9621
0.378906 3.90234
0.386719 3.84494
0.394531 3.78977
0.402344 3.7367
0.410156 3.68561
0.417969 3.63639
0.425781 3.58894
0.433594 3.54318
0.441406 3.499
0.449219 3.45633
0.457031 3.41509
0.464844 3.37522
0.472656 3.33664
0.480469 3.29929
0.488281 3.26312
0.496094 3.22807
0.503906 3.19408
0.511719 3.16112
0.519531 3.12914
0.527344 3.09809
0.535156 3.06793
0.542969 3.03862
0.550781 3.01014
0.558594 2.98243
0.566406 2.95549
0.574219 2.92926
0.582031 2.90373
0.589844 2.87887
0.597656 2.85464
0.605469 2.83104
0.613281 2.80803
0.621094 2.78558
0.628906 2.76369
0.636719 2.74233
0.644531 2.72148
0.652344 2.70113
0.660156 2.68124
0.667969 2.66182
0.675781 2.64285
0.683594 2.6243
0.691406 2.60616
0.699219 2.58843
0.707031 2.57108
0.714844 2.55411
0.722656 2.5375
0.730469 2.52124
0.738281 2.50532
0.746094 2.48973
0.753906 2.47446
0.761719 2.4595
0.769531 2.44484
0.777344 2.43048
0.785156 2.41639
0.792969 2.40258
0.800781 2.38904
0.808594 2.37576
0.816406 2.36272
0.824219 2.34994
0.832031 2.33739
0.839844 2.32507
0.847656 2.31298
0.855469 2.3011
0.863281 2.28944
0.871094 2.27798
0.878906 2.26673
0.886719 2.25567
0.894531 2.24481
0.902344 2.23413
0.910156 2.22363
0.917969 2.21331
0.925781 2.20316
0.933594 2.19318
0.941406 2.18337
0.949219 2.17371
0.957031 2.16422
0.964844 2.15487
0.972656 2.14567
0.980469 2.13662
0.988281 2.12771
0.996094 2.11894
1 2.1146
