t lev
0.00390625 11.32890938
0.00781250 12.35818606
0.01171875 12.78424535
0.01562500 12.64094521
0.01953125 12.10150295
0.02343750 11.35675695
0.02734375 10.54959042
0.03125000 9.76497172
0.03515625 9.04386964
0.03906250 8.40022936
0.04296875 7.83372702
0.04687500 7.33764256
0.05078125 6.90314969
0.05468750 6.52140640
0.05859375 6.18443269
0.06250000 5.88537549
0.06640625 5.61849250
0.07031250 5.37902582
0.07421875 5.16304704
0.07812500 4.96730933
0.08203125 4.78911943
0.08593750 4.62623176
0.08984375 4.47676300
0.09375000 4.33912403
0.09765625 4.21196566
0.10156250 4.09413564
0.10546875 3.98464425
0.10937500 3.88263683
0.11328125 3.78737153
0.11718750 3.69820138
0.12109375 3.61455957
0.12500000 3.53594747
0.12890625 3.46192464
0.13281250 3.39210061
0.13671875 3.32612799
0.14062500 3.26369667
0.14453125 3.20452896
0.14843750 3.14837547
0.15234375 3.09501160
0.15625000 3.04423450
0.16015625 2.99586054
0.16406250 2.94972306
0.16796875 2.90567047
0.17187500 2.86356457
0.17578125 2.82327911
0.17968750 2.78469853
0.18359375 2.74771685
0.18750000 2.71223669
0.19140625 2.67816842
0.19531250 2.64542941
0.19921875 2.61394335
0.20312500 2.58363967
0.20703125 2.55445299
0.21093750 2.52632267
0.21484375 2.49919238
0.21875000 2.47300972
0.22265625 2.44772591
0.22656250 2.42329542
0.23046875 2.39967578
0.23437500 2.37682728
0.23828125 2.35471277
0.24218750 2.33329743
0.24609375 2.31254862
0.25000000 2.29243570
0.25390625 2.27292988
0.25781250 2.25400409
0.26171875 2.23563282
0.26562500 2.21779206
0.26953125 2.20045916
0.27343750 2.18361274
0.27734375 2.16723259
0.28125000 2.15129963
0.28515625 2.13579579
0.28906250 2.12070396
0.29296875 2.10600793
0.29687500 2.09169234
0.30078125 2.07774261
0.30468750 2.06414487
0.30859375 2.05088599
0.31250000 2.03795344
0.31640625 2.02533532
0.32031250 2.01302031
0.32421875 2.00099761
0.32812500 1.98925694
0.33203125 1.97778849
0.33593750 1.96658290
0.33984375 1.95563123
0.34375000 1.94492496
0.34765625 1.93445592
0.35156250 1.92421632
0.35546875 1.91419869
0.35937500 1.90439589
0.36328125 1.89480109
0.36718750 1.88540774
0.37109375 1.87620956
0.37500000 1.86720053
0.37890625 1.85837486
0.38281250 1.84972703
0.38671875 1.84125171
0.39062500 1.83294379
0.39453125 1.82479836
0.39843750 1.81681069
0.40234375 1.80897625
0.40625000 1.80129067
0.41015625 1.79374975
0.41406250 1.78634944
0.41796875 1.77908585
0.42187500 1.77195521
0.42578125 1.76495392
0.42968750 1.75807849
0.43359375 1.75132555
0.43750000 1.74469185
0.44140625 1.73817427
0.44531250 1.73176979
0.44921875 1.72547548
0.45312500 1.71928853
0.45703125 1.71320622
0.46093750 1.70722590
0.46484375 1.70134505
0.46875000 1.69556118
0.47265625 1.68987194
0.47656250 1.68427501
0.48046875 1.67876817
0.48437500 1.67334925
0.48828125 1.66801617
0.49218750 1.66276690
0.49609375 1.65759949
0.50000000 1.65251204
0.50390625 1.64750269
0.50781250 1.64256968
0.51171875 1.63771126
0.51562500 1.63292575
0.51953125 1.62821154
0.52343750 1.62356703
0.52734375 1.61899069
0.53125000 1.61448104
0.53515625 1.61003662
0.53906250 1.60565603
0.54296875 1.60133790
0.54687500 1.59708091
0.55078125 1.59288377
0.55468750 1.58874523
0.55859375 1.58466406
0.56250000 1.58063908
0.56640625 1.57666914
0.57031250 1.57275312
0.57421875 1.56888993
0.57812500 1.56507850
0.58203125 1.56131780
0.58593750 1.55760683
0.58984375 1.55394461
0.59375000 1.55033017
0.59765625 1.54676260
0.60156250 1.54324098
0.60546875 1.53976444
0.60937500 1.53633211
0.61328125 1.53294316
0.61718750 1.52959677
0.62109375 1.52629214
0.62500000 1.52302849
0.62890625 1.51980507
0.63281250 1.51662114
0.63671875 1.51347598
0.64062500 1.51036888
0.64453125 1.50729916
0.64843750 1.50426615
0.65234375 1.50126918
0.65625000 1.49830763
0.66015625 1.49538087
0.66406250 1.49248828
0.66796875 1.48962929
0.67187500 1.48680329
0.67578125 1.48400973
0.67968750 1.48124804
0.68359375 1.47851770
0.68750000 1.47581816
0.69140625 1.47314891
0.69531250 1.47050943
0.69921875 1.46789925
0.70312500 1.46531786
0.70703125 1.46276481
0.71093750 1.46023961
0.71484375 1.45774182
0.71875000 1.45527100
0.72265625 1.45282671
0.72656250 1.45040853
0.73046875 1.44801603
0.73437500 1.44564882
0.73828125 1.44330650
0.74218750 1.44098866
0.74609375 1.43869494
0.75000000 1.43642495
0.75390625 1.43417834
0.75781250 1.43195474
0.76171875 1.42975380
0.76562500 1.42757517
0.76953125 1.42541852
0.77343750 1.42328352
0.77734375 1.42116984
0.78125000 1.41907716
0.78515625 1.41700518
0.78906250 1.41495358
0.79296875 1.41292207
0.79687500 1.41091036
0.80078125 1.40891816
0.80468750 1.40694517
0.80859375 1.40499114
0.81250000 1.40305578
0.81640625 1.40113883
0.82031250 1.39924003
0.82421875 1.39735912
0.82812500 1.39549585
0.83203125 1.39364997
0.83593750 1.39182125
0.83984375 1.39000943
0.84375000 1.38821430
0.84765625 1.38643561
0.85156250 1.38467315
0.85546875 1.38292669
0.85937500 1.38119602
0.86328125 1.37948092
0.86718750 1.37778119
0.87109375 1.37609661
0.87500000 1.37442699
0.87890625 1.37277213
0.88281250 1.37113183
0.88671875 1.36950591
0.89062500 1.36789417
0.89453125 1.36629643
0.89843750 1.36471251
0.90234375 1.36314222
0.90625000 1.36158540
0.91015625 1.36004187
0.91406250 1.35851147
0.91796875 1.35699402
0.92187500 1.35548936
0.92578125 1.35399733
0.92968750 1.35251777
0.93359375 1.35105053
0.93750000 1.34959545
0.94140625 1.34815239
0.94531250 1.34672119
0.94921875 1.34530171
0.95312500 1.34389380
0.95703125 1.34249733
0.96093750 1.34111215
0.96484375 1.33973813
0.96875000 1.33837514
0.97265625 1.33702304
0.97656250 1.33568170
0.98046875 1.33435100
0.98437500 1.33303081
0.98828125 1.33172100
0.99218750 1.33042145
0.99609375 1.32913205
1.00000000 1.32785267
