p ratio
0.0025 0.00210124
0.005 0.00411383
0.00749999 0.00608772
0.00999999 0.00803297
0.0125 0.00995438
0.015 0.0118548
0.0175 0.0137361
0.02 0.0155996
0.0225 0.0174465
0.025 0.0192776
0.0275 0.0210937
0.03 0.0228952
0.0325 0.0246827
0.035 0.0264567
0.0375 0.0282175
0.04 0.0299656
0.0425 0.0317012
0.045 0.0334246
0.0475 0.0351362
0.05 0.0368362
0.0524999 0.0385248
0.0549999 0.0402023
0.0574999 0.0418689
0.0599999 0.0435248
0.0624999 0.0451701
0.0649999 0.0468051
0.0674999 0.0484299
0.0699999 0.0500447
0.0724999 0.0516497
0.0749999 0.053245
0.0774999 0.0548309
0.0799999 0.0564073
0.0824999 0.0579745
0.0849999 0.0595326
0.0874999 0.0610817
0.0899999 0.062622
0.0924999 0.0641535
0.0949999 0.0656765
0.0974999 0.067191
0.0999999 0.0686971
0.1025 0.070195
0.105 0.0716847
0.1075 0.0731664
0.11 0.0746401
0.1125 0.0761061
0.115 0.0775643
0.1175 0.0790148
0.12 0.0804578
0.1225 0.0818934
0.125 0.0833216
0.1275 0.0847426
0.13 0.0861563
0.1325 0.087563
0.135 0.0889627
0.1375 0.0903554
0.14 0.0917413
0.1425 0.0931204
0.145 0.0944928
0.1475 0.0958586
0.15 0.0972179
0.1525 0.0985707
0.155 0.0999171
0.1575 0.101257
0.16 0.102591
0.1625 0.103919
0.165 0.10524
0.1675 0.106556
0.17 0.107865
0.1725 0.109169
0.175 0.110466
0.1775 0.111758
0.18 0.113045
0.1825 0.114325
0.185 0.1156
0.1875 0.116869
0.19 0.118133
0.1925 0.119392
0.195 0.120645
0.1975 0.121892
0.2 0.123135
0.2025 0.124372
0.205 0.125604
0.2075 0.126831
0.21 0.128053
0.2125 0.12927
0.215 0.130482
0.2175 0.131689
0.22 0.132891
0.2225 0.134089
0.225 0.135281
0.2275 0.136469
0.23 0.137652
0.2325 0.138831
0.235 0.140005
0.2375 0.141174
0.24 0.142339
0.2425 0.1435
0.245 0.144656
0.2475 0.145808
0.25 0.146956
0.2525 0.148099
0.255 0.149238
0.2575 0.150373
0.26 0.151503
0.2625 0.15263
0.265 0.153752
0.2675 0.154871
0.27 0.155985
0.2725 0.157096
0.275 0.158202
0.2775 0.159305
0.28 0.160404
0.2825 0.161499
0.285 0.16259
0.2875 0.163678
0.29 0.164762
0.2925 0.165842
0.295 0.166918
0.2975 0.167991
0.3 0.169061
0.3025 0.170127
0.305 0.171189
0.3075 0.172248
0.31 0.173303
0.3125 0.174355
0.315 0.175404
0.3175 0.17645
0.32 0.177492
0.3225 0.17853
0.325 0.179566
0.3275 0.180598
0.33 0.181628
0.3325 0.182654
0.335 0.183676
0.3375 0.184696
0.34 0.185713
0.3425 0.186727
0.345 0.187737
