x lev
0.8425 1.69184
0.845 1.69025
0.8475 1.68866
0.85 1.68708
0.8525 1.68551
0.855 1.68395
0.8575 1.6824
0.86 1.68085
0.8625 1.67931
0.865 1.67777
0.8675 1.67624
0.87 1.67472
0.8725 1.67321
0.875 1.6717
0.8775 1.6702
0.88 1.66871
0.8825 1.66722
0.885 1.66574
0.8875 1.66427
0.89 1.6628
0.8925 1.66134
0.895 1.65988
0.8975 1.65844
0.9 1.65699
0.9025 1.65556
0.905 1.65413
0.9075 1.65271
0.91 1.65129
0.9125 1.64988
0.915 1.64847
0.9175 1.64707
0.92 1.64568
0.9225 1.6443
0.925 1.64291
0.9275 1.64154
0.93 1.64017
0.9325 1.63881
0.935 1.63745
0.9375 1.6361
0.94 1.63475
0.9425 1.63341
0.945 1.63208
0.9475 1.63075
0.95 1.62943
0.9525 1.62811
0.955 1.6268
0.9575 1.62549
0.96 1.62419
0.9625 1.62289
0.965 1.6216
0.9675 1.62032
0.97 1.61904
0.9725 1.61776
0.975 1.61649
0.9775 1.61523
0.98 1.61397
0.9825 1.61272
0.985 1.61147
0.9875 1.61022
0.99 1.60899
0.9925 1.60775
0.995 1.60652
0.9975 1.6053
1 1.60408
