t gamma
0.311523 1.000000
0.312500 1.000000
0.313477 1.000000
0.314453 1.000000
0.315430 1.000000
0.316406 1.000000
0.317383 1.000000
0.318359 1.000000
0.319336 1.000000
0.320312 1.000000
0.321289 1.000000
0.322266 1.000000
0.323242 1.000000
0.324219 1.000000
0.325195 1.000000
0.326172 1.000000
0.327148 1.000000
0.328125 1.000000
0.329102 1.000000
0.330078 1.000000
0.331055 1.000000
0.332031 1.000000
0.333008 1.000000
0.333984 1.000000
0.334961 1.000000
0.335938 1.000000
0.336914 1.000000
0.337891 1.000000
0.338867 1.000000
0.339844 1.000000
0.340820 1.000000
0.341797 1.000000
0.342773 1.000000
0.343750 1.000000
0.344727 1.000000
0.345703 1.000000
0.346680 1.000000
0.347656 1.000000
0.348633 1.000000
0.349609 1.000000
0.350586 1.000000
0.351562 1.000000
0.352539 1.000000
0.353516 1.000000
0.354492 1.000000
0.355469 1.000000
0.356445 1.000000
0.357422 1.000000
0.358398 1.000000
0.359375 1.000000
0.360352 1.000000
0.361328 1.000000
0.362305 1.000000
0.363281 1.000000
0.364258 1.000000
0.365234 1.000000
0.366211 1.000000
0.367188 1.000000
0.368164 1.000000
0.369141 1.000000
0.370117 1.000000
0.371094 1.000000
0.372070 1.000000
0.373047 1.000000
0.374023 1.000000
0.375000 1.000000
0.375977 1.000000
0.376953 1.000000
0.377930 1.000000
0.378906 1.000000
0.379883 1.000000
0.380859 1.000000
0.381836 1.000000
0.382812 1.000000
0.383789 1.000000
0.384766 1.000000
0.385742 1.000000
0.386719 1.000000
0.387695 1.000000
0.388672 1.000000
0.389648 1.000000
0.390625 1.000000
0.391602 1.000000
0.392578 1.000000
0.393555 1.000000
0.394531 1.000000
0.395508 1.000000
0.396484 1.000000
0.397461 1.000000
0.398438 1.000000
0.399414 1.000000
0.400391 1.000000
0.401367 1.000000
0.402344 1.000000
0.403320 1.000000
0.404297 1.000000
0.405273 1.000000
0.406250 1.000000
0.407227 1.000000
0.408203 1.000000
0.409180 1.000000
0.410156 1.000000
0.411133 1.000000
0.412109 1.000000
0.413086 1.000000
0.414062 1.000000
0.415039 1.000000
0.416016 1.000000
0.416992 1.000000
0.417969 1.000000
0.418945 1.000000
0.419922 1.000000
0.420898 1.000000
0.421875 1.000000
0.422852 1.000000
0.423828 1.000000
0.424805 1.000000
0.425781 1.000000
0.426758 1.000000
0.427734 1.000000
0.428711 1.000000
0.429688 1.000000
0.430664 1.000000
0.431641 1.000000
0.432617 1.000000
0.433594 1.000000
0.434570 1.000000
0.435547 1.000000
0.436523 1.000000
0.437500 1.000000
0.438477 1.000000
0.439453 1.000000
0.440430 1.000000
0.441406 1.000000
0.442383 1.000000
0.443359 1.000000
0.444336 1.000000
0.445312 1.000000
0.446289 1.000000
0.447266 1.000000
0.448242 1.000000
0.449219 1.000000
0.450195 1.000000
0.451172 1.000000
0.452148 1.000000
0.453125 1.000000
0.454102 1.000000
0.455078 1.000000
0.456055 1.000000
0.457031 1.000000
0.458008 1.000000
0.458984 1.000000
0.459961 1.000000
0.460938 1.000000
0.461914 1.000000
0.462891 1.000000
0.463867 1.000000
0.464844 1.000000
0.465820 1.000000
0.466797 1.000000
0.467773 1.000000
0.468750 1.000000
0.469727 1.000000
0.470703 1.000000
0.471680 1.000000
0.472656 1.000000
0.473633 1.000000
0.474609 1.000000
0.475586 1.000000
0.476562 1.000000
0.477539 1.000000
0.478516 1.000000
0.479492 1.000000
0.480469 1.000000
0.481445 1.000000
0.482422 1.000000
0.483398 1.000000
0.484375 1.000000
0.485352 1.000000
0.486328 1.000000
0.487305 1.000000
0.488281 1.000000
0.489258 1.000000
0.490234 1.000000
0.491211 1.000000
0.492188 1.000000
0.493164 1.000000
0.494141 1.000000
0.495117 1.000000
0.496094 1.000000
0.497070 1.000000
0.498047 1.000000
0.499023 1.000000
0.500000 1.000000
0.500977 1.000000
0.501953 1.000000
0.502930 1.000000
0.503906 1.000000
0.504883 1.000000
0.505859 1.000000
0.506836 1.000000
0.507812 1.000000
0.508789 1.000000
0.509766 1.000000
0.510742 1.000000
0.511719 1.000000
0.512695 1.000000
0.513672 1.000000
0.514648 1.000000
0.515625 1.000000
0.516602 1.000000
0.517578 1.000000
0.518555 1.000000
0.519531 1.000000
0.520508 1.000000
0.521484 1.000000
0.522461 1.000000
0.523438 1.000000
0.524414 1.000000
0.525391 1.000000
0.526367 1.000000
0.527344 1.000000
0.528320 1.000000
0.529297 1.000000
0.530273 1.000000
0.531250 1.000000
0.532227 1.000000
0.533203 1.000000
0.534180 1.000000
0.535156 1.000000
0.536133 1.000000
0.537109 1.000000
0.538086 1.000000
0.539062 1.000000
0.540039 1.000000
0.541016 1.000000
0.541992 1.000000
0.542969 1.000000
0.543945 1.000000
0.544922 1.000000
0.545898 1.000000
0.546875 1.000000
0.547852 1.000000
0.548828 1.000000
0.549805 1.000000
0.550781 1.000000
0.551758 1.000000
0.552734 1.000000
0.553711 1.000000
0.554688 1.000000
0.555664 1.000000
0.556641 1.000000
0.557617 1.000000
0.558594 1.000000
