x lev
0.00390625 1
0.0117188 1.00003
0.0195312 1.00018
0.0273438 1.00046
0.0351562 1.00085
0.0429688 1.00136
0.0507812 1.00198
0.0585938 1.00271
0.0664062 1.00355
0.0742188 1.0045
0.0820312 1.00555
0.0898438 1.00671
0.0976562 1.00797
0.105469 1.00932
0.113281 1.01078
0.121094 1.01232
0.128906 1.01396
0.136719 1.01569
0.144531 1.0175
0.152344 1.01941
0.160156 1.02139
0.167969 1.02346
0.175781 1.02561
0.183594 1.02783
0.191406 1.03013
0.199219 1.0325
0.207031 1.03495
0.214844 1.03746
0.222656 1.04004
0.230469 1.04269
0.238281 1.0454
0.246094 1.04817
0.253906 1.051
0.261719 1.05389
0.269531 1.05684
0.277344 1.05984
0.285156 1.06289
0.292969 1.06599
0.300781 1.06914
0.308594 1.07234
0.316406 1.07558
0.324219 1.07887
0.332031 1.08219
0.339844 1.08556
0.347656 1.08896
0.355469 1.0924
0.363281 1.09587
0.371094 1.09938
0.378906 1.10292
0.386719 1.10648
0.394531 1.11007
0.402344 1.11369
0.410156 1.11733
0.417969 1.121
0.425781 1.12468
0.433594 1.12839
0.441406 1.13211
0.449219 1.13584
0.457031 1.1396
0.464844 1.14336
0.472656 1.14713
0.480469 1.15092
0.488281 1.15471
0.496094 1.1585
0.503906 1.16231
0.511719 1.16611
0.519531 1.16992
0.527344 1.17372
0.535156 1.17753
0.542969 1.18133
0.550781 1.18512
0.558594 1.18891
0.566406 1.19269
0.574219 1.19646
0.582031 1.20022
0.589844 1.20397
0.597656 1.2077
0.605469 1.21141
0.613281 1.21511
0.621094 1.21879
0.628906 1.22245
0.636719 1.22608
0.644531 1.22969
0.652344 1.23328
0.660156 1.23683
0.667969 1.24036
0.675781 1.24386
0.683594 1.24732
0.691406 1.25075
0.699219 1.25414
0.707031 1.25749
0.714844 1.26081
0.722656 1.26408
0.730469 1.2673
0.738281 1.27048
0.746094 1.27362
0.753906 1.2767
0.761719 1.27973
0.769531 1.28271
0.777344 1.28563
0.785156 1.28849
0.792969 1.29129
0.800781 1.29403
0.808594 1.2967
0.816406 1.29931
0.824219 1.30184
0.832031 1.3043
0.839844 1.30669
0.847656 1.30899
0.855469 1.31122
0.863281 1.31336
0.871094 1.31541
0.878906 1.31737
0.886719 1.31924
0.894531 1.32101
0.902344 1.32268
0.910156 1.32424
0.917969 1.3257
0.925781 1.32704
0.933594 1.32827
0.941406 1.32938
0.949219 1.33036
0.957031 1.33121
0.964844 1.33193
0.972656 1.3325
0.980469 1.33293
0.988281 1.33321
0.996094 1.33333
1 1.33333
