p lcorrect lwrong lexpected
0.0001 1.00018 0.999939 1
0.00260576 1.00636 0.998075 1.00015
0.00511153 1.01389 0.996105 1.00057
0.00761729 1.02271 0.99403 1.00124
0.0101231 1.03275 0.991853 1.00216
0.0126288 1.04397 0.989573 1.00331
0.0151346 1.05631 0.987192 1.00468
0.0176404 1.0697 0.98471 1.00626
0.0201461 1.08412 0.98213 1.00804
0.0226519 1.09952 0.979451 1.01
0.0251576 1.11584 0.976676 1.01215
0.0276634 1.13306 0.973804 1.01448
0.0301692 1.15114 0.970837 1.01697
0.0326749 1.17005 0.967776 1.01961
0.0351807 1.18975 0.964622 1.02241
0.0376865 1.2102 0.961375 1.02536
0.0401922 1.2314 0.958037 1.02845
0.042698 1.25329 0.954609 1.03167
0.0452038 1.27587 0.951092 1.03502
0.0477095 1.2991 0.947486 1.03849
0.0502153 1.32296 0.943792 1.04208
0.0527211 1.34744 0.940011 1.04579
0.0552268 1.3725 0.936145 1.04961
0.0577326 1.39813 0.932193 1.05353
0.0602383 1.42432 0.928158 1.05755
0.0627441 1.45104 0.924039 1.06167
0.0652499 1.47827 0.919838 1.06589
0.0677556 1.506 0.915555 1.0702
0.0702614 1.53422 0.911191 1.07459
0.0727672 1.5629 0.906747 1.07907
0.0752729 1.59204 0.902224 1.08364
0.0777787 1.62163 0.897622 1.08828
0.0802845 1.65164 0.892943 1.09299
0.0827902 1.68207 0.888187 1.09778
0.085296 1.7129 0.883355 1.10264
0.0878018 1.74413 0.878448 1.10757
0.0903075 1.77573 0.873466 1.11257
0.0928133 1.80772 0.86841 1.11762
0.095319 1.84006 0.863281 1.12275
0.0978248 1.87276 0.85808 1.12793
0.100331 1.9058 0.852807 1.13316
0.102836 1.93918 0.847463 1.13846
0.105342 1.97288 0.842049 1.14381
0.107848 2.00691 0.836566 1.14921
0.110354 2.04124 0.831014 1.15466
0.112859 2.07588 0.825393 1.16016
0.115365 2.11081 0.819705 1.16571
0.117871 2.14604 0.813951 1.1713
0.120377 2.18155 0.80813 1.17694
0.122882 2.21734 0.802244 1.18262
0.125388 2.25339 0.796293 1.18834
0.127894 2.28972 0.790278 1.19411
0.1304 2.3263 0.7842 1.19991
0.132906 2.36314 0.778059 1.20575
0.135411 2.40023 0.771855 1.21163
0.137917 2.43756 0.765591 1.21754
0.140423 2.47513 0.759265 1.22349
0.142929 2.51294 0.752878 1.22948
0.145434 2.55097 0.746433 1.23549
0.14794 2.58924 0.739928 1.24154
0.150446 2.62772 0.733364 1.24762
0.152952 2.66643 0.726743 1.25372
0.155457 2.70535 0.720064 1.25986
0.157963 2.74448 0.713328 1.26602
0.160469 2.78381 0.706537 1.27222
0.162975 2.82335 0.69969 1.27844
0.16548 2.8631 0.692787 1.28468
0.167986 2.90304 0.685831 1.29095
0.170492 2.94317 0.67882 1.29724
0.172998 2.9835 0.671757 1.30356
0.175504 3.02401 0.66464 1.3099
0.178009 3.06471 0.657471 1.31626
0.180515 3.1056 0.650251 1.32265
0.183021 3.14666 0.642979 1.32905
0.185527 3.18791 0.635657 1.33548
0.188032 3.22933 0.628285 1.34192
0.190538 3.27093 0.620863 1.34839
0.193044 3.31269 0.613392 1.35487
0.19555 3.35463 0.605873 1.36137
0.198055 3.39674 0.598306 1.36789
0.200561 3.43901 0.590691 1.37443
0.203067 3.48144 0.583029 1.38098
0.205573 3.52404 0.575321 1.38755
0.208078 3.5668 0.567567 1.39414
0.210584 3.60972 0.559768 1.40074
0.21309 3.65279 0.551923 1.40736
0.215596 3.69603 0.544034 1.41399
0.218102 3.73941 0.536101 1.42063
0.220607 3.78295 0.528124 1.42729
0.223113 3.82665 0.520105 1.43397
0.225619 3.87049 0.512043 1.44065
0.228125 3.91448 0.503939 1.44735
0.23063 3.95862 0.495793 1.45406
0.233136 4.00291 0.487606 1.46079
0.235642 4.04735 0.479378 1.46752
0.238148 4.09193 0.47111 1.47427
0.240653 4.13665 0.462803 1.48103
0.243159 4.18152 0.454456 1.4878
0.245665 4.22653 0.44607 1.49458
0.248171 4.27168 0.437646 1.50137
0.250676 4.31697 0.429183 1.50817
0.253182 4.3624 0.420684 1.51498
0.255688 4.40798 0.412147 1.5218
0.258194 4.45369 0.403573 1.52863
0.260699 4.49954 0.394964 1.53547
0.263205 4.54552 0.386318 1.54232
0.265711 4.59165 0.377637 1.54917
0.268217 4.63791 0.368921 1.55604
0.270723 4.68431 0.360171 1.56291
0.273228 4.73084 0.351386 1.5698
0.275734 4.77751 0.342568 1.57669
0.27824 4.82431 0.333717 1.58359
0.280746 4.87125 0.324833 1.59049
0.283251 4.91832 0.315916 1.59741
0.285757 4.96552 0.306967 1.60433
0.288263 5.01286 0.297987 1.61126
0.290769 5.06033 0.288975 1.61819
0.293274 5.10794 0.279933 1.62513
0.29578 5.15568 0.27086 1.63208
0.298286 5.20355 0.261757 1.63904
0.300792 5.25155 0.252625 1.646
0.303297 5.29969 0.243463 1.65297
0.305803 5.34796 0.234273 1.65995
0.308309 5.39636 0.225054 1.66693
0.310815 5.44489 0.215807 1.67391
0.313321 5.49356 0.206532 1.68091
0.315826 5.54236 0.19723 1.68791
0.318332 5.59129 0.187901 1.69491
0.320838 5.64036 0.178546 1.70192
0.323344 5.68956 0.169164 1.70894
0.325849 5.73889 0.159757 1.71596
0.328355 5.78835 0.150324 1.72299
0.330861 5.83795 0.140867 1.73002
0.333367 5.88768 0.131384 1.73706
0.335872 5.93754 0.121878 1.74411
0.338378 5.98754 0.112347 1.75115
0.340884 6.03768 0.102793 1.75821
0.34339 6.08794 0.0932156 1.76527
0.345895 6.13835 0.0836155 1.77233
0.348401 6.18888 0.0739929 1.7794
0.350907 6.23956 0.0643483 1.78647
0.353413 6.29037 0.0546819 1.79355
0.355919 6.34131 0.0449942 1.80064
0.358424 6.39239 0.0352854 1.80772
0.36093 6.44361 0.025556 1.81482
0.363436 6.49497 0.0158063 1.82192
0.365942 6.54646 0.00603669 1.82902
0.368447 6.5981 -0.00375256 1.83613
0.370953 6.64987 -0.013561 1.84324
0.373459 6.70178 -0.0233884 1.85035
0.375965 6.75383 -0.0332344 1.85747
0.37847 6.80603 -0.0430985 1.8646
0.380976 6.85836 -0.0529804 1.87173
0.383482 6.91084 -0.0628799 1.87887
0.385988 6.96345 -0.0727966 1.886
0.388493 7.01621 -0.08273 1.89315
0.390999 7.06912 -0.0926799 1.9003
0.393505 7.12217 -0.102646 1.90745
0.396011 7.17536 -0.112628 1.91461
0.398517 7.22871 -0.122625 1.92177
0.401022 7.28219 -0.132638 1.92894
0.403528 7.33583 -0.142665 1.93611
0.406034 7.38961 -0.152706 1.94328
0.40854 7.44354 -0.162762 1.95046
0.411045 7.49762 -0.172831 1.95765
0.413551 7.55186 -0.182914 1.96484
0.416057 7.60624 -0.19301 1.97203
0.418563 7.66078 -0.203119 1.97923
0.421068 7.71547 -0.21324 1.98644
0.423574 7.77031 -0.223373 1.99364
0.42608 7.82531 -0.233518 2.00086
0.428586 7.88046 -0.243675 2.00808
0.431091 7.93578 -0.253842 2.0153
0.433597 7.99125 -0.26402 2.02253
0.436103 8.04688 -0.274209 2.02976
0.438609 8.10267 -0.284408 2.037
0.441115 8.15862 -0.294616 2.04424
0.44362 8.21473 -0.304834 2.05149
0.446126 8.271 -0.315061 2.05874
0.448632 8.32745 -0.325297 2.066
0.451138 8.38405 -0.335541 2.07326
0.453643 8.44082 -0.345793 2.08053
0.456149 8.49777 -0.356053 2.0878
0.458655 8.55488 -0.366321 2.09508
0.461161 8.61216 -0.376595 2.10236
