x lev
0.150391 8.15678
0.15625 7.89889
0.162109 7.65902
0.167969 7.43534
0.173828 7.22626
0.179688 7.03039
0.185547 6.84651
0.191406 6.67355
0.197266 6.51056
0.203125 6.3567
0.208984 6.21122
0.214844 6.07346
0.220703 5.9428
0.226562 5.81872
0.232422 5.70073
0.238281 5.58839
0.244141 5.4813
0.25 5.3791
0.255859 5.28147
0.261719 5.1881
0.267578 5.09872
0.273438 5.01308
0.279297 4.93094
0.285156 4.85211
0.291016 4.77637
0.296875 4.70356
0.302734 4.63351
0.308594 4.56605
0.314453 4.50106
0.320312 4.43839
0.326172 4.37793
0.332031 4.31956
0.337891 4.26317
0.34375 4.20866
0.349609 4.15595
0.355469 4.10494
0.361328 4.05555
0.367188 4.00771
0.373047 3.96135
0.378906 3.91639
0.384766 3.87278
0.390625 3.83045
0.396484 3.78935
0.402344 3.74942
0.408203 3.71063
0.414062 3.67291
0.419922 3.63623
0.425781 3.60054
0.431641 3.5658
0.4375 3.53198
0.443359 3.49904
0.449219 3.46695
0.455078 3.43567
0.460938 3.40517
0.466797 3.37542
0.472656 3.34641
0.478516 3.31809
0.484375 3.29045
0.490234 3.26346
0.496094 3.23709
0.501953 3.21134
0.507812 3.18617
0.513672 3.16157
0.519531 3.13751
0.525391 3.11399
0.53125 3.09097
0.537109 3.06845
0.542969 3.04642
0.548828 3.02484
0.554688 3.00372
0.560547 2.98303
0.566406 2.96276
0.572266 2.94291
0.578125 2.92345
0.583984 2.90438
0.589844 2.88568
0.595703 2.86735
0.601562 2.84937
0.607422 2.83173
0.613281 2.81443
0.619141 2.79745
0.625 2.78078
0.630859 2.76442
0.636719 2.74836
0.642578 2.73259
0.648438 2.71709
0.654297 2.70188
0.660156 2.68693
0.666016 2.67224
0.671875 2.65781
0.677734 2.64362
0.683594 2.62967
0.689453 2.61596
0.695312 2.60248
0.701172 2.58922
0.707031 2.57617
0.712891 2.56334
0.71875 2.55072
0.724609 2.5383
0.730469 2.52608
0.736328 2.51405
0.742188 2.5022
0.748047 2.49054
0.753906 2.47907
0.759766 2.46776
0.765625 2.45663
0.771484 2.44566
0.777344 2.43486
0.783203 2.42422
0.789062 2.41374
0.794922 2.40341
0.800781 2.39323
0.806641 2.38319
0.8125 2.3733
0.818359 2.36355
0.824219 2.35394
0.830078 2.34446
0.835938 2.33511
0.841797 2.3259
0.847656 2.3168
0.853516 2.30784
0.859375 2.29899
0.865234 2.29026
0.871094 2.28165
0.876953 2.27316
0.882812 2.26477
0.888672 2.2565
0.894531 2.24833
0.900391 2.24027
0.90625 2.23231
0.912109 2.22445
0.917969 2.2167
0.923828 2.20904
0.929688 2.20147
0.935547 2.194
0.941406 2.18663
0.947266 2.17934
0.953125 2.17214
0.958984 2.16503
0.964844 2.158
0.970703 2.15106
0.976562 2.14421
0.982422 2.13743
0.988281 2.13073
0.994141 2.12411
1 2.11757
