t gamma
0.000000 1.000000
0.000244 1.000000
0.000488 1.000000
0.000732 1.000000
0.000977 1.000000
0.001221 1.000000
0.001465 1.000000
0.001709 1.000000
0.001953 1.000000
0.002197 1.000000
0.002441 1.000000
0.002686 1.000000
0.002930 1.000000
0.003174 1.000000
0.003418 1.000000
0.003662 1.000000
0.003906 1.000000
0.004150 1.000000
0.004395 1.000000
0.004639 1.000000
0.004883 1.000000
0.005127 1.000000
0.005371 1.000000
0.005615 1.000000
0.005859 1.000000
0.006104 1.000000
0.006348 1.000000
0.006592 1.000000
0.006836 1.000000
0.007080 1.000000
0.007324 1.000000
0.007568 1.000000
0.007812 1.000000
0.008057 1.000000
0.008301 1.000000
0.008545 1.000000
0.008789 1.000000
0.009033 1.000000
0.009277 1.000000
0.009521 1.000000
0.009766 1.000000
0.010010 1.000000
0.010254 1.000000
0.010498 1.000000
0.010742 1.000000
0.010986 1.000000
0.011230 1.000000
0.011475 1.000000
0.011719 1.000000
0.011963 1.000000
0.012207 1.000000
0.012451 1.000000
0.012695 1.000000
0.012939 1.000000
0.013184 1.000000
0.013428 1.000000
0.013672 1.000000
0.013916 1.000000
0.014160 1.000000
0.014404 1.000000
0.014648 1.000000
0.014893 1.000000
0.015137 1.000000
0.015381 1.000000
0.015625 1.000000
0.015869 1.000000
0.016113 1.000000
0.016357 1.000000
0.016602 1.000000
0.016846 1.000000
0.017090 1.000000
0.017334 1.000000
0.017578 1.000000
0.017822 1.000000
0.018066 1.000000
0.018311 1.000000
0.018555 1.000000
0.018799 1.000000
0.019043 1.000000
0.019287 1.000000
0.019531 1.000000
0.019775 1.000000
0.020020 1.000000
0.020264 1.000000
0.020508 1.000000
0.020752 1.000000
0.020996 1.000000
0.021240 1.000000
0.021484 1.000000
0.021729 1.000000
0.021973 1.000000
0.022217 1.000000
0.022461 1.000000
0.022705 1.000000
0.022949 1.000000
0.023193 1.000000
0.023438 1.000000
0.023682 1.000000
0.023926 1.000000
0.024170 1.000000
0.024414 1.000000
0.024658 1.000000
0.024902 1.000000
0.025146 1.000000
0.025391 1.000000
0.025635 1.000000
0.025879 1.000000
0.026123 1.000000
0.026367 1.000000
0.026611 1.000000
0.026855 1.000000
0.027100 1.000000
0.027344 1.000000
0.027588 1.000000
0.027832 1.000000
0.028076 1.000000
0.028320 1.000000
0.028564 1.000000
0.028809 1.000000
0.029053 1.000000
0.029297 1.000000
0.029541 1.000000
0.029785 1.000000
0.030029 1.000000
0.030273 1.000000
0.030518 1.000000
0.030762 1.000000
0.031006 1.000000
0.031250 1.000000
0.031494 1.000000
0.031738 1.000000
0.031982 1.000000
0.032227 1.000000
0.032471 1.000000
0.032715 1.000000
0.032959 1.000000
0.033203 1.000000
0.033447 1.000000
0.033691 1.000000
0.033936 1.000000
0.034180 1.000000
0.034424 1.000000
0.034668 1.000000
0.034912 1.000000
0.035156 1.000000
0.035400 1.000000
0.035645 1.000000
0.035889 1.000000
0.036133 1.000000
0.036377 1.000000
0.036621 1.000000
0.036865 1.000000
0.037109 1.000000
0.037354 1.000000
0.037598 1.000000
0.037842 1.000000
0.038086 1.000000
0.038330 1.000000
0.038574 1.000000
0.038818 1.000000
0.039062 1.000000
0.039307 1.000000
0.039551 1.000000
0.039795 1.000000
0.040039 1.000000
0.040283 1.000000
0.040527 1.000000
0.040771 1.000000
0.041016 1.000000
0.041260 1.000000
0.041504 1.000000
0.041748 1.000000
0.041992 1.000000
0.042236 1.000000
0.042480 1.000000
0.042725 1.000000
0.042969 1.000000
0.043213 1.000000
0.043457 1.000000
0.043701 1.000000
0.043945 1.000000
0.044189 1.000000
0.044434 1.000000
0.044678 1.000000
0.044922 1.000000
0.045166 1.000000
0.045410 1.000000
0.045654 1.000000
0.045898 1.000000
0.046143 1.000000
0.046387 1.000000
0.046631 1.000000
0.046875 1.000000
0.047119 1.000000
0.047363 1.000000
0.047607 1.000000
0.047852 1.000000
0.048096 1.000000
0.048340 1.000000
0.048584 1.000000
0.048828 1.000000
0.049072 1.000000
0.049316 1.000000
0.049561 1.000000
0.049805 1.000000
0.050049 1.000000
0.050293 1.000000
0.050537 1.000000
0.050781 1.000000
0.051025 1.000000
0.051270 1.000000
0.051514 1.000000
0.051758 1.000000
0.052002 1.000000
0.052246 1.000000
0.052490 1.000000
0.052734 1.000000
0.052979 1.000000
0.053223 1.000000
0.053467 1.000000
0.053711 1.000000
0.053955 1.000000
0.054199 1.000000
0.054443 1.000000
0.054688 1.000000
0.054932 1.000000
0.055176 1.000000
0.055420 1.000000
0.055664 1.000000
0.055908 1.000000
0.056152 1.000000
0.056396 1.000000
0.056641 1.000000
0.056885 1.000000
0.057129 1.000000
0.057373 1.000000
0.057617 1.000000
0.057861 1.000000
0.058105 1.000000
0.058350 1.000000
0.058594 1.000000
0.058838 1.000000
0.059082 1.000000
0.059326 1.000000
0.059570 1.000000
0.059814 1.000000
0.060059 1.000000
0.060303 1.000000
0.060547 1.000000
0.060791 1.000000
0.061035 1.000000
0.061279 1.000000
0.061523 1.000000
0.061768 1.000000
0.062012 1.000000
0.062256 1.000000
0.062500 1.000000
0.062744 1.000000
0.062988 1.000000
0.063232 1.000000
0.063477 1.000000
0.063721 1.000000
0.063965 1.000000
0.064209 1.000000
0.064453 1.000000
0.064697 1.000000
0.064941 1.000000
0.065186 1.000000
0.065430 1.000000
0.065674 1.000000
0.065918 1.000000
0.066162 1.000000
0.066406 1.000000
0.066650 1.000000
0.066895 1.000000
0.067139 1.000000
0.067383 1.000000
0.067627 1.000000
0.067871 1.000000
0.068115 1.000000
0.068359 1.000000
0.068604 1.000000
0.068848 1.000000
0.069092 1.000000
0.069336 1.000000
0.069580 1.000000
0.069824 1.000000
0.070068 1.000000
0.070312 1.000000
0.070557 1.000000
0.070801 1.000000
0.071045 1.000000
0.071289 1.000000
0.071533 1.000000
0.071777 1.000000
0.072021 1.000000
0.072266 1.000000
0.072510 1.000000
0.072754 1.000000
0.072998 1.000000
0.073242 1.000000
0.073486 1.000000
0.073730 1.000000
0.073975 1.000000
0.074219 1.000000
0.074463 1.000000
0.074707 1.000000
0.074951 1.000000
0.075195 1.000000
0.075439 1.000000
0.075684 1.000000
0.075928 1.000000
0.076172 1.000000
0.076416 1.000000
0.076660 1.000000
0.076904 1.000000
0.077148 1.000000
0.077393 1.000000
0.077637 1.000000
0.077881 1.000000
0.078125 1.000000
0.078369 1.000000
0.078613 1.000000
0.078857 1.000000
0.079102 1.000000
0.079346 1.000000
0.079590 1.000000
0.079834 1.000000
0.080078 1.000000
0.080322 1.000000
0.080566 1.000000
0.080811 1.000000
0.081055 1.000000
0.081299 1.000000
0.081543 1.000000
0.081787 1.000000
0.082031 1.000000
0.082275 1.000000
0.082520 1.000000
0.082764 1.000000
0.083008 1.000000
0.083252 1.000000
0.083496 1.000000
0.083740 1.000000
0.083984 1.000000
0.084229 1.000000
0.084473 1.000000
0.084717 1.000000
0.084961 1.000000
0.085205 1.000000
0.085449 1.000000
0.085693 1.000000
0.085938 1.000000
0.086182 1.000000
0.086426 1.000000
0.086670 1.000000
0.086914 1.000000
0.087158 1.000000
0.087402 1.000000
0.087646 1.000000
0.087891 1.000000
0.088135 1.000000
0.088379 1.000000
0.088623 1.000000
0.088867 1.000000
0.089111 1.000000
0.089355 1.000000
0.089600 1.000000
0.089844 1.000000
0.090088 1.000000
0.090332 1.000000
0.090576 1.000000
0.090820 1.000000
0.091064 1.000000
0.091309 1.000000
0.091553 1.000000
0.091797 1.000000
0.092041 1.000000
0.092285 1.000000
0.092529 1.000000
0.092773 1.000000
0.093018 1.000000
0.093262 1.000000
0.093506 1.000000
0.093750 1.000000
0.093994 1.000000
0.094238 1.000000
0.094482 1.000000
0.094727 1.000000
0.094971 1.000000
0.095215 1.000000
0.095459 1.000000
0.095703 1.000000
0.095947 1.000000
0.096191 1.000000
0.096436 1.000000
0.096680 1.000000
0.096924 1.000000
0.097168 1.000000
0.097412 1.000000
0.097656 1.000000
0.097900 1.000000
0.098145 1.000000
0.098389 1.000000
0.098633 1.000000
0.098877 1.000000
0.099121 1.000000
0.099365 1.000000
0.099609 1.000000
0.099854 1.000000
0.100098 1.000000
0.100342 1.000000
0.100586 1.000000
0.100830 1.000000
0.101074 1.000000
0.101318 1.000000
0.101562 1.000000
0.101807 1.000000
0.102051 1.000000
0.102295 1.000000
0.102539 1.000000
0.102783 1.000000
0.103027 1.000000
0.103271 1.000000
0.103516 1.000000
0.103760 1.000000
0.104004 1.000000
0.104248 1.000000
0.104492 1.000000
0.104736 1.000000
0.104980 1.000000
0.105225 1.000000
0.105469 1.000000
0.105713 1.000000
0.105957 1.000000
0.106201 1.000000
0.106445 1.000000
0.106689 1.000000
0.106934 1.000000
0.107178 1.000000
0.107422 1.000000
0.107666 1.000000
0.107910 1.000000
0.108154 1.000000
0.108398 1.000000
0.108643 1.000000
0.108887 1.000000
0.109131 1.000000
0.109375 1.000000
0.109619 1.000000
0.109863 1.000000
0.110107 1.000000
0.110352 1.000000
0.110596 1.000000
0.110840 1.000000
0.111084 1.000000
0.111328 1.000000
0.111572 1.000000
0.111816 1.000000
0.112061 1.000000
0.112305 1.000000
0.112549 1.000000
0.112793 1.000000
0.113037 1.000000
0.113281 1.000000
0.113525 1.000000
0.113770 1.000000
0.114014 1.000000
0.114258 1.000000
0.114502 1.000000
0.114746 1.000000
0.114990 1.000000
0.115234 1.000000
0.115479 1.000000
0.115723 1.000000
0.115967 1.000000
0.116211 1.000000
0.116455 1.000000
0.116699 1.000000
0.116943 1.000000
0.117188 1.000000
0.117432 1.000000
0.117676 1.000000
0.117920 1.000000
0.118164 1.000000
0.118408 1.000000
0.118652 1.000000
0.118896 1.000000
0.119141 1.000000
0.119385 1.000000
0.119629 1.000000
