p ratio
0.0648437 0.275674
0.0671875 0.278566
0.0695312 0.281404
0.071875 0.284193
0.0742187 0.286933
0.0765625 0.289627
0.0789062 0.292276
0.08125 0.294882
0.0835937 0.297447
0.0859375 0.299972
0.0882812 0.302459
0.090625 0.304909
0.0929687 0.307323
0.0953125 0.309703
0.0976562 0.312049
0.1 0.314362
0.102344 0.316644
0.104687 0.318895
0.107031 0.321117
0.109375 0.32331
0.111719 0.325475
0.114062 0.327613
0.116406 0.329725
0.11875 0.33181
0.121094 0.333871
0.123437 0.335907
0.125781 0.33792
0.128125 0.339909
0.130469 0.341875
0.132812 0.34382
0.135156 0.345743
0.1375 0.347645
0.139844 0.349526
0.142187 0.351387
0.144531 0.353229
0.146875 0.355051
0.149219 0.356855
0.151562 0.35864
0.153906 0.360408
0.15625 0.362157
0.158594 0.36389
0.160937 0.365605
0.163281 0.367304
0.165625 0.368987
0.167969 0.370654
0.170312 0.372305
0.172656 0.373941
0.175 0.375562
0.177344 0.377169
0.179687 0.37876
0.182031 0.380338
0.184375 0.381902
0.186719 0.383452
0.189062 0.384989
0.191406 0.386513
0.19375 0.388023
0.196094 0.389521
0.198437 0.391007
0.200781 0.39248
0.203125 0.393941
0.205469 0.395391
0.207812 0.396828
0.210156 0.398255
0.2125 0.399669
0.214844 0.401073
0.217187 0.402466
0.219531 0.403848
0.221875 0.40522
0.224219 0.406581
0.226562 0.407932
0.228906 0.409273
0.23125 0.410604
0.233594 0.411925
0.235937 0.413236
0.238281 0.414538
0.240625 0.415831
0.242969 0.417114
0.245312 0.418389
0.247656 0.419654
0.25 0.420911
0.252344 0.422158
0.254687 0.423398
0.257031 0.424629
0.259375 0.425851
0.261719 0.427066
0.264062 0.428272
0.266406 0.42947
0.26875 0.430661
0.271094 0.431843
0.273437 0.433018
0.275781 0.434186
0.278125 0.435346
0.280469 0.436498
0.282812 0.437644
0.285156 0.438782
0.2875 0.439913
0.289844 0.441037
0.292187 0.442155
0.294531 0.443265
0.296875 0.444369
0.299218 0.445466
0.301562 0.446557
0.303906 0.447641
0.30625 0.448719
0.308593 0.44979
0.310937 0.450856
0.313281 0.451915
0.315625 0.452968
0.317968 0.454015
0.320312 0.455056
0.322656 0.456092
0.325 0.457121
0.327343 0.458145
0.329687 0.459163
0.332031 0.460176
0.334375 0.461183
0.336718 0.462185
0.339062 0.463181
0.341406 0.464172
0.34375 0.465158
0.346093 0.466139
0.348437 0.467114
0.350781 0.468085
0.353125 0.46905
0.355468 0.47001
0.357812 0.470966
0.360156 0.471917
0.3625 0.472863
0.364843 0.473804
0.367187 0.47474
0.369531 0.475672
0.371875 0.476599
0.374218 0.477522
0.376562 0.478441
0.378906 0.479354
0.38125 0.480264
0.383593 0.481169
0.385937 0.48207
0.388281 0.482967
0.390625 0.483859
0.392968 0.484748
0.395312 0.485632
0.397656 0.486512
0.4 0.487388
0.402343 0.48826
0.404687 0.489129
0.407031 0.489993
0.409375 0.490854
0.411718 0.49171
0.414062 0.492563
0.416406 0.493413
0.41875 0.494258
0.421093 0.4951
0.423437 0.495939
0.425781 0.496774
0.428125 0.497605
0.430468 0.498433
0.432812 0.499257
0.435156 0.500078
0.4375 0.500896
0.439843 0.50171
0.442187 0.502521
0.444531 0.503329
0.446875 0.504133
0.449218 0.504934
0.451562 0.505732
0.453906 0.506527
0.45625 0.507319
0.458593 0.508108
0.460937 0.508893
0.463281 0.509676
0.465625 0.510456
0.467968 0.511232
0.470312 0.512006
0.472656 0.512777
0.475 0.513545
0.477343 0.514311
0.479687 0.515073
0.482031 0.515833
0.484375 0.51659
0.486718 0.517344
0.489062 0.518095
0.491406 0.518844
0.49375 0.519591
0.496093 0.520334
0.498437 0.521075
0.500781 0.521814
0.503125 0.52255
0.505468 0.523284
0.507812 0.524015
0.510156 0.524743
0.5125 0.525469
0.514843 0.526193
0.517187 0.526915
0.519531 0.527634
0.521875 0.528351
0.524218 0.529065
0.526562 0.529778
0.528906 0.530488
0.531249 0.531195
0.533593 0.531901
0.535937 0.532605
0.538281 0.533306
0.540624 0.534005
0.542968 0.534702
0.545312 0.535397
0.547656 0.53609
0.549999 0.536781
0.552343 0.53747
0.554687 0.538157
0.557031 0.538842
0.559374 0.539525
0.561718 0.540206
0.564062 0.540885
0.566406 0.541563
0.568749 0.542238
0.571093 0.542912
0.573437 0.543584
0.575781 0.544254
0.578124 0.544922
0.580468 0.545589
0.582812 0.546254
0.585156 0.546917
0.587499 0.547579
0.589843 0.548238
0.592187 0.548897
0.594531 0.549553
0.596874 0.550208
0.599218 0.550862
0.601562 0.551514
0.603906 0.552164
0.606249 0.552813
0.608593 0.55346
0.610937 0.554106
0.613281 0.55475
0.615624 0.555393
0.617968 0.556035
0.620312 0.556675
0.622656 0.557314
0.624999 0.557951
0.627343 0.558587
0.629687 0.559222
0.632031 0.559855
0.634374 0.560488
0.636718 0.561118
0.639062 0.561748
0.641406 0.562377
0.643749 0.563004
0.646093 0.56363
0.648437 0.564255
0.650781 0.564879
0.653124 0.565502
0.655468 0.566123
0.657812 0.566744
0.660156 0.567363
0.662499 0.567982
0.664843 0.568599
0.667187 0.569216
0.669531 0.569831
0.671874 0.570446
0.674218 0.571059
0.676562 0.571672
0.678906 0.572284
0.681249 0.572895
0.683593 0.573505
0.685937 0.574114
0.688281 0.574723
0.690624 0.57533
0.692968 0.575937
0.695312 0.576543
