p hbefore scorrect swrong sexpected hcorrect hwrong hexpected
0.21309 15.2946 1.28698 2.34571 1.91183 10.5936 14 12.604
0.215596 15.2786 1.28038 2.35031 1.90983 10.5463 14 12.5782
0.218102 15.2625 1.27381 2.35492 1.90781 10.4992 14 12.5522
0.220607 15.2461 1.26727 2.35956 1.90577 10.4521 14 12.5261
0.223113 15.2296 1.26075 2.3642 1.9037 10.4052 14 12.4998
0.225619 15.213 1.25427 2.36886 1.90162 10.3583 14 12.4734
0.228125 15.1961 1.24782 2.37354 1.89951 10.3116 14 12.4469
0.23063 15.1791 1.24139 2.37823 1.89739 10.2649 14 12.4202
0.233136 15.1619 1.235 2.38294 1.89524 10.2183 14 12.3934
0.235642 15.1446 1.22863 2.38766 1.89307 10.1719 14 12.3665
0.238148 15.1271 1.22229 2.39239 1.89089 10.1256 14 12.3394
0.240653 15.1094 1.21598 2.39715 1.88868 10.0793 14 12.3122
0.243159 15.0916 1.20969 2.40192 1.88645 10.0332 14 12.2849
0.245665 15.0736 1.20344 2.4067 1.88419 9.9872 14 12.2575
0.248171 15.0554 1.1972 2.4115 1.88192 9.94131 14 12.2299
0.250676 15.037 1.191 2.41632 1.87963 9.89552 14 12.2022
0.253182 15.0185 1.18482 2.42115 1.87732 9.84985 14 12.1744
0.255688 14.9999 1.17867 2.426 1.87498 9.8043 14 12.1465
0.258194 14.981 1.17255 2.43086 1.87263 9.75886 14 12.1185
0.260699 14.962 1.16645 2.43575 1.87025 9.71354 14 12.0903
0.263205 14.9429 1.16038 2.44064 1.86786 9.66834 14 12.062
0.265711 14.9235 1.15433 2.44556 1.86544 9.62326 14 12.0336
0.268217 14.904 1.14831 2.45049 1.863 9.57829 14 12.0051
0.270723 14.8844 1.14231 2.45544 1.86055 9.53345 14 11.9765
0.273228 14.8646 1.13634 2.4604 1.85807 9.48872 14 11.9478
0.275734 14.8446 1.13039 2.46539 1.85557 9.44412 14 11.9189
0.27824 14.8244 1.12447 2.47039 1.85305 9.39964 14 11.8899
0.280746 14.8041 1.11857 2.4754 1.85051 9.35528 14 11.8609
0.283251 14.7836 1.11269 2.48044 1.84795 9.31104 14 11.8317
0.285757 14.763 1.10684 2.48549 1.84537 9.26692 14 11.8024
0.288263 14.7422 1.10101 2.49056 1.84277 9.22293 14 11.773
0.290769 14.7212 1.09521 2.49565 1.84015 9.17906 14 11.7435
0.293274 14.7 1.08943 2.50076 1.83751 9.13531 14 11.7139
0.29578 14.6787 1.08367 2.50588 1.83484 9.09169 14 11.6841
0.298286 14.6573 1.07793 2.51102 1.83216 9.04819 14 11.6543
0.300792 14.6357 1.07222 2.51618 1.82946 9.00482 14 11.6244
0.303297 14.6139 1.06653 2.52136 1.82673 8.96157 14 11.5943
0.305803 14.5919 1.06087 2.52656 1.82399 8.91844 14 11.5642
0.308309 14.5698 1.05522 2.53178 1.82122 8.87544 14 11.5339
0.310815 14.5475 1.0496 2.53701 1.81844 8.83256 14 11.5036
0.313321 14.5251 1.044 2.54227 1.81563 8.78981 14 11.4731
0.315826 14.5025 1.03842 2.54754 1.81281 8.74718 14 11.4426
0.318332 14.4797 1.03286 2.55284 1.80996 8.70467 14 11.412
0.320838 14.4567 1.02732 2.55815 1.80709 8.66229 14 11.3812
0.323344 14.4336 1.0218 2.56348 1.80421 8.62004 14 11.3504
0.325849 14.4104 1.01631 2.56884 1.8013 8.5779 14 11.3194
0.328355 14.387 1.01084 2.57421 1.79837 8.53589 14 11.2884
0.330861 14.3634 1.00538 2.5796 1.79542 8.49401 14 11.2573
0.333367 14.3396 0.99995 2.58501 1.79245 8.45225 14 11.226
0.335872 14.3157 0.994538 2.59045 1.78946 8.41061 14 11.1947
0.338378 14.2916 0.989145 2.5959 1.78646 8.36909 14 11.1633
0.340884 14.2674 0.983773 2.60137 1.78343 8.3277 14 11.1318
0.34339 14.243 0.978421 2.60687 1.78038 8.28643 14 11.1002
0.345895 14.2184 0.973089 2.61238 1.7773 8.24528 14 11.0685
0.348401 14.1937 0.967776 2.61792 1.77421 8.20425 14 11.0367
0.350907 14.1688 0.962483 2.62348 1.7711 8.16335 14 11.0048
0.353413 14.1438 0.957209 2.62906 1.76797 8.12256 14 10.9728
0.355919 14.1185 0.951955 2.63466 1.76482 8.0819 14 10.9407
0.358424 14.0932 0.946719 2.64029 1.76165 8.04136 14 10.9086
0.36093 14.0676 0.941503 2.64593 1.75845 8.00094 14 10.8763
0.363436 14.0419 0.936305 2.6516 1.75524 7.96064 14 10.844
0.365942 14.016 0.931126 2.65729 1.75201 7.92046 14 10.8116
0.368447 13.99 0.925965 2.663 1.74875 7.8804 14 10.7791
0.370953 13.9638 0.920823 2.66874 1.74548 7.84046 14 10.7465
0.373459 13.9374 0.915699 2.6745 1.74218 7.80063 14 10.7138
0.375965 13.9109 0.910593 2.68028 1.73887 7.76093 14 10.681
0.37847 13.8842 0.905505 2.68608 1.73553 7.72134 14 10.6482
0.380976 13.8574 0.900435 2.69191 1.73217 7.68187 14 10.6152
0.383482 13.8304 0.895383 2.69776 1.7288 7.64252 14 10.5822
0.385988 13.8032 0.890349 2.70364 1.7254 7.60328 14 10.5491
0.388493 13.7758 0.885332 2.70954 1.72198 7.56416 14 10.5159
0.390999 13.7483 0.880332 2.71546 1.71854 7.52516 14 10.4826
0.393505 13.7207 0.875349 2.72141 1.71508 7.48627 14 10.4492
0.396011 13.6928 0.870384 2.72738 1.7116 7.4475 14 10.4158
0.398517 13.6648 0.865436 2.73338 1.7081 7.40884 14 10.3822
0.401022 13.6367 0.860505 2.7394 1.70458 7.37029 14 10.3486
0.403528 13.6083 0.85559 2.74545 1.70104 7.33186 14 10.3149
0.406034 13.5798 0.850692 2.75153 1.69748 7.29354 14 10.2811
0.40854 13.5512 0.845811 2.75762 1.6939 7.25533 14 10.2473
0.411045 13.5223 0.840946 2.76375 1.69029 7.21724 14 10.2133
0.413551 13.4933 0.836098 2.7699 1.68667 7.17925 14 10.1793
0.416057 13.4642 0.831266 2.77608 1.68302 7.14138 14 10.1452
0.418563 13.4349 0.82645 2.78228 1.67936 7.10362 14 10.111
0.421068 13.4054 0.821649 2.78851 1.67567 7.06597 14 10.0768
0.423574 13.3757 0.816865 2.79477 1.67197 7.02843 14 10.0424
0.42608 13.3459 0.812097 2.80106 1.66824 6.99099 14 10.008
0.428586 13.3159 0.807344 2.80737 1.66449 6.95367 14 9.97349
0.431091 13.2858 0.802607 2.81371 1.66072 6.91645 14 9.93891
0.433597 13.2554 0.797886 2.82008 1.65693 6.87934 14 9.90426
0.436103 13.225 0.79318 2.82647 1.65312 6.84234 14 9.86952
0.438609 13.1943 0.788489 2.8329 1.64929 6.80544 14 9.83471
0.441115 13.1635 0.783813 2.83935 1.64544 6.76865 14 9.79982
0.44362 13.1325 0.779153 2.84584 1.64156 6.73196 14 9.76485
0.446126 13.1013 0.774507 2.85235 1.63767 6.69538 14 9.72981
0.448632 13.07 0.769877 2.85889 1.63375 6.65891 14 9.69469
0.451138 13.0385 0.765261 2.86546 1.62982 6.62253 14 9.65949
0.453643 13.0069 0.76066 2.87206 1.62586 6.58626 14 9.62422
0.456149 12.975 0.756074 2.87869 1.62188 6.5501 14 9.58887
0.458655 12.943 0.751502 2.88536 1.61788 6.51403 14 9.55345
0.461161 12.9109 0.746944 2.89205 1.61386 6.47807 14 9.51795
0.463666 12.8785 0.742401 2.89878 1.60982 6.4422 14 9.48238
0.466172 12.846 0.737872 2.90553 1.60575 6.40644 14 9.44673
0.468678 12.8134 0.733358 2.91232 1.60167 6.37078 14 9.41101
0.471184 12.7805 0.728857 2.91914 1.59756 6.33522 14 9.37521
0.473689 12.7475 0.724371 2.92599 1.59344 6.29975 14 9.33934
0.476195 12.7143 0.719898 2.93288 1.58929 6.26438 14 9.3034
0.478701 12.6809 0.715439 2.93979 1.58512 6.22912 14 9.26738
0.481207 12.6474 0.710994 2.94675 1.58093 6.19394 14 9.23129
0.483713 12.6137 0.706562 2.95373 1.57671 6.15887 14 9.19512
0.486218 12.5798 0.702145 2.96075 1.57248 6.12389 14 9.15889
0.488724 12.5458 0.69774 2.9678 1.56823 6.08901 14 9.12258
0.49123 12.5116 0.693349 2.97489 1.56395 6.05422 14 9.0862
0.493736 12.4772 0.688972 2.98202 1.55965 6.01952 14 9.04974
0.496241 12.4426 0.684607 2.98917 1.55533 5.98492 14 9.01322
0.498747 12.4079 0.680256 2.99637 1.55099 5.95042 14 8.97662
0.501253 12.373 0.675918 3.0036 1.54662 5.916 14 8.93995
0.503759 12.3379 0.671592 3.01086 1.54224 5.88168 14 8.90321
0.506264 12.3026 0.66728 3.01817 1.53783 5.84745 14 8.8664
0.50877 12.2672 0.662981 3.02551 1.5334 5.81331 14 8.82951
0.511276 12.2316 0.658694 3.03289 1.52895 5.77926 14 8.79256
0.513782 12.1958 0.65442 3.0403 1.52448 5.7453 14 8.75553
0.516287 12.1599 0.650159 3.04776 1.51998 5.71143 14 8.71844
0.518793 12.1237 0.64591 3.05525 1.51547 5.67765 14 8.68127
0.521299 12.0874 0.641674 3.06278 1.51093 5.64395 14 8.64403
0.523805 12.0509 0.63745 3.07035 1.50637 5.61035 14 8.60673
