p ratio
0.804999 0.357113
0.807499 0.357977
0.809999 0.358844
0.812499 0.359713
0.814999 0.360584
0.817499 0.361458
0.819999 0.362335
0.822499 0.363214
0.824999 0.364097
0.827499 0.364982
0.829999 0.365871
0.832499 0.366763
0.834999 0.367658
0.837499 0.368557
0.839999 0.369459
0.842499 0.370366
0.844999 0.371276
0.847499 0.37219
0.849999 0.373108
0.852499 0.374031
0.854999 0.374958
0.857499 0.37589
0.859999 0.376826
0.862499 0.377768
0.864999 0.378715
0.867499 0.379667
0.869999 0.380625
0.872499 0.381589
0.874999 0.382559
0.877499 0.383535
0.879999 0.384518
0.882499 0.385508
0.884999 0.386505
0.887499 0.387509
0.889999 0.388521
0.892499 0.389541
0.894999 0.39057
0.897499 0.391608
0.899999 0.392654
0.902499 0.393711
0.904999 0.394778
0.907499 0.395855
0.909999 0.396944
0.912499 0.398045
0.914999 0.399158
0.917499 0.400284
0.919999 0.401424
0.922499 0.402579
0.924999 0.403749
0.927499 0.404935
0.929999 0.406139
0.932499 0.407362
0.934999 0.408604
0.937499 0.409868
0.939999 0.411154
0.942499 0.412465
0.944999 0.413802
0.947499 0.415167
0.949999 0.416563
0.952499 0.417992
0.954999 0.419458
0.957499 0.420964
0.959999 0.422514
0.962499 0.424113
0.964999 0.425767
0.967499 0.427483
0.969999 0.429269
0.972499 0.431136
0.974999 0.433095
0.977499 0.435165
0.979999 0.437367
0.982499 0.43973
0.984999 0.442295
0.987499 0.445126
0.989999 0.448321
0.992499 0.452054
0.994999 0.45669
0.997499 0.46327
0.999999 0.492921
