t mix true
0.832031 0.128918 0.129793
0.835938 0.121420 0.124412
0.839844 0.119199 0.122743
0.843750 0.113367 0.118170
0.847656 0.100314 0.108272
0.851562 0.088651 0.098919
0.855469 0.069211 0.082443
0.859375 0.049771 0.062499
0.863281 0.038107 0.047754
0.867188 0.032831 0.039253
0.871094 0.025333 0.029428
0.875000 0.025055 0.027443
0.878906 0.023111 0.024491
0.882812 0.022833 0.023608
0.886719 0.021722 0.022155
0.890625 0.022278 0.022514
0.894531 0.021445 0.021574
0.898438 0.021722 0.021792
0.902344 0.020889 0.020927
0.906250 0.020889 0.020909
0.910156 0.021445 0.021455
0.914062 0.021167 0.021173
0.917969 0.020889 0.020892
0.921875 0.020840 0.020849
0.925781 0.020791 0.020806
0.929688 0.020840 0.020848
0.933594 0.020840 0.020847
0.937500 0.020791 0.020805
0.941406 0.020644 0.020678
0.945312 0.020447 0.020510
0.949219 0.020479 0.020576
0.953125 0.018285 0.018646
0.957031 0.016959 0.017493
0.960938 0.014109 0.014982
0.964844 0.009834 0.011154
0.968750 0.005019 0.006293
0.972656 0.002759 0.003654
0.976562 0.002071 0.002618
0.980469 0.001531 0.001852
0.984375 0.001236 0.001418
0.988281 0.001236 0.001337
0.992188 0.001236 0.001291
0.996094 0.000015 0.000067
