in_000,in_001,in_010,in_011,in_100,in_101,in_110,in_111,circuit_complexity
01,00,00,01,01,00,00,01,3
00,01,00,01,01,00,00,01,4
01,01,00,01,01,00,00,01,4
00,00,01,01,01,00,00,01,4
01,00,01,01,01,00,00,01,4
00,01,01,01,01,00,00,01,6
01,01,01,01,01,00,00,01,4
00,00,00,00,00,01,00,01,1
01,00,00,00,00,01,00,01,4
00,01,00,00,00,01,00,01,2
01,01,00,00,00,01,00,01,3
00,00,01,00,00,01,00,01,4
01,00,01,00,00,01,00,01,3
00,01,01,00,00,01,00,01,4
01,01,01,00,00,01,00,01,4
00,00,00,01,00,01,00,01,2
01,00,00,01,00,01,00,01,4
00,01,00,01,00,01,00,01,0
01,01,00,01,00,01,00,01,2
00,00,01,01,00,01,00,01,3
01,00,01,01,00,01,00,01,4
00,01,01,01,00,01,00,01,2
01,01,01,01,00,01,00,01,1
00,00,00,00,01,01,00,01,2
01,00,00,00,01,01,00,01,3
00,01,00,00,01,01,00,01,4
01,01,00,00,01,01,00,01,2
00,00,01,00,01,01,00,01,4
01,00,01,00,01,01,00,01,4
00,01,01,00,01,01,00,01,6
01,01,01,00,01,01,00,01,4
00,00,00,01,01,01,00,01,3
01,00,00,01,01,01,00,01,4
00,01,00,01,01,01,00,01,2
01,01,00,01,01,01,00,01,1
00,00,01,01,01,01,00,01,4
01,00,01,01,01,01,00,01,5
00,01,01,01,01,01,00,01,4
01,01,01,01,01,01,00,01,2
00,00,00,00,00,00,01,01,1
01,00,00,00,00,00,01,01,4
00,01,00,00,00,00,01,01,4
01,01,00,00,00,00,01,01,3
00,00,01,00,00,00,01,01,2
01,00,01,00,00,00,01,01,3
00,01,01,00,00,00,01,01,4
01,01,01,00,00,00,01,01,4
00,00,00,01,00,00,01,01,2
01,00,00,01,00,00,01,01,4
00,01,00,01,00,00,01,01,3
01,01,00,01,00,00,01,01,4
00,00,01,01,00,00,01,01,0
01,00,01,01,00,00,01,01,2
00,01,01,01,00,00,01,01,2
01,01,01,01,00,00,01,01,1
00,00,00,00,01,00,01,01,2
01,00,00,00,01,00,01,01,3
00,01,00,00,01,00,01,01,4
01,01,00,00,01,00,01,01,4
00,00,01,00,01,00,01,01,4
01,00,01,00,01,00,01,01,2
00,01,01,00,01,00,01,01,6
01,01,01,00,01,00,01,01,4
00,00,00,01,01,00,01,01,3
01,00,00,01,01,00,01,01,4
00,01,00,01,01,00,01,01,4
01,01,00,01,01,00,01,01,5
00,00,01,01,01,00,01,01,2
01,00,01,01,01,00,01,01,1
00,01,01,01,01,00,01,01,4
01,01,01,01,01,00,01,01,2
00,00,00,00,00,01,01,01,2
01,00,00,00,00,01,01,01,4
00,01,00,00,00,01,01,01,3
01,01,00,00,00,01,01,01,4
00,00,01,00,00,01,01,01,3
01,00,01,00,00,01,01,01,4
00,01,01,00,00,01,01,01,4
01,01,01,00,00,01,01,01,5
00,00,00,01,00,01,01,01,4
01,00,00,01,00,01,01,01,6
00,01,00,01,00,01,01,01,2
01,01,00,01,00,01,01,01,4
00,00,01,01,00,01,01,01,2
01,00,01,01,00,01,01,01,4
00,01,01,01,00,01,01,01,1
01,01,01,01,00,01,01,01,2
00,00,00,00,01,01,01,01,0
01,00,00,00,01,01,01,01,2
00,01,00,00,01,01,01,01,2
01,01,00,00,01,01,01,01,1
00,00,01,00,01,01,01,01,2
01,00,01,00,01,01,01,01,1
00,01,01,00,01,01,01,01,4
01,01,01,00,01,01,01,01,2
00,00,00,01,01,01,01,01,2
01,00,00,01,01,01,01,01,4
00,01,00,01,01,01,01,01,1
01,01,00,01,01,01,01,01,2
00,00,01,01,01,01,01,01,1
01,00,01,01,01,01,01,01,2
00,01,01,01,01,01,01,01,2
01,01,01,01,01,01,01,01,0
10,00,00,00,00,00,00,00,2
11,00,00,00,00,00,00,00,2
10,01,00,00,00,00,00,00,3
11,01,00,00,00,00,00,00,2
10,00,01,00,00,00,00,00,3
11,00,01,00,00,00,00,00,2
10,01,01,00,00,00,00,00,5
11,01,01,00,00,00,00,00,4
10,00,00,01,00,00,00,00,4
11,00,00,01,00,00,00,00,5
10,01,00,01,00,00,00,00,3
11,01,00,01,00,00,00,00,3
10,00,01,01,00,00,00,00,3
11,00,01,01,00,00,00,00,3
10,01,01,01,00,00,00,00,3
11,01,01,01,00,00,00,00,2
10,00,00,00,01,00,00,00,3
11,00,00,00,01,00,00,00,2
10,01,00,00,01,00,00,00,5
11,01,00,00,01,00,00,00,4
10,00,01,00,01,00,00,00,5
11,00,01,00,01,00,00,00,4
10,01,01,00,01,00,00,00,6
11,01,01,00,01,00,00,00,5
10,00,00,01,01,00,00,00,6
11,00,00,01,01,00,00,00,5
10,01,00,01,01,00,00,00,5
11,01,00,01,01,00,00,00,4
10,00,01,01,01,00,00,00,5
11,00,01,01,01,00,00,00,4
10,01,01,01,01,00,00,00,4
11,01,01,01,01,00,00,00,3
10,00,00,00,00,01,00,00,4
11,00,00,00,00,01,00,00,5
10,01,00,00,00,01,00,00,3
11,01,00,00,00,01,00,00,3
10,00,01,00,00,01,00,00,6
11,00,01,00,00,01,00,00,5
10,01,01,00,00,01,00,00,5
11,01,01,00,00,01,00,00,4
10,00,00,01,00,01,00,00,5
11,00,00,01,00,01,00,00,6
10,01,00,01,00,01,00,00,4
11,01,00,01,00,01,00,00,5
10,00,01,01,00,01,00,00,5
11,00,01,01,00,01,00,00,5
10,01,01,01,00,01,00,00,4
11,01,01,01,00,01,00,00,4
10,00,00,00,01,01,00,00,3
11,00,00,00,01,01,00,00,3
10,01,00,00,01,01,00,00,3
11,01,00,00,01,01,00,00,2
10,00,01,00,01,01,00,00,5
11,00,01,00,01,01,00,00,4
10,01,01,00,01,01,00,00,4
11,01,01,00,01,01,00,00,3
10,00,00,01,01,01,00,00,5
11,00,00,01,01,01,00,00,5
10,01,00,01,01,01,00,00,4
11,01,00,01,01,01,00,00,4
10,00,01,01,01,01,00,00,4
11,00,01,01,01,01,00,00,5
10,01,01,01,01,01,00,00,4
11,01,01,01,01,01,00,00,3
10,00,00,00,00,00,01,00,4
11,00,00,00,00,00,01,00,5
10,01,00,00,00,00,01,00,6
11,01,00,00,00,00,01,00,5
10,00,01,00,00,00,01,00,3
11,00,01,00,00,00,01,00,3
10,01,01,00,00,00,01,00,5
11,01,01,00,00,00,01,00,4
10,00,00,01,00,00,01,00,5
11,00,00,01,00,00,01,00,6
10,01,00,01,00,00,01,00,5
11,01,00,01,00,00,01,00,5
10,00,01,01,00,00,01,00,4
11,00,01,01,00,00,01,00,5
10,01,01,01,00,00,01,00,4
11,01,01,01,00,00,01,00,4
10,00,00,00,01,00,01,00,3
11,00,00,00,01,00,01,00,3
10,01,00,00,01,00,01,00,5
11,01,00,00,01,00,01,00,4
10,00,01,00,01,00,01,00,3
11,00,01,00,01,00,01,00,2
10,01,01,00,01,00,01,00,4
11,01,01,00,01,00,01,00,3
10,00,00,01,01,00,01,00,5
11,00,00,01,01,00,01,00,5
10,01,00,01,01,00,01,00,4
11,01,00,01,01,00,01,00,5
10,00,01,01,01,00,01,00,4
11,00,01,01,01,00,01,00,4
10,01,01,01,01,00,01,00,4
11,01,01,01,01,00,01,00,3
10,00,00,00,00,01,01,00,5
11,00,00,00,00,01,01,00,6
10,01,00,00,00,01,01,00,5
11,01,00,00,00,01,01,00,5
10,00,01,00,00,01,01,00,5
11,00,01,00,00,01,01,00,5
10,01,01,00,00,01,01,00,4
11,01,01,00,00,01,01,00,5
10,00,00,01,00,01,01,00,7
11,00,00,01,00,01,01,00,7
10,01,00,01,00,01,01,00,6
11,01,00,01,00,01,01,00,7
10,00,01,01,00,01,01,00,6
11,00,01,01,00,01,01,00,7
10,01,01,01,00,01,01,00,5
11,01,01,01,00,01,01,00,5
10,00,00,00,01,01,01,00,4
11,00,00,00,01,01,01,00,5
10,01,00,00,01,01,01,00,4
11,01,00,00,01,01,01,00,4
10,00,01,00,01,01,01,00,4
11,00,01,00,01,01,01,00,4
10,01,01,00,01,01,01,00,4
11,01,01,00,01,01,01,00,3
10,00,00,01,01,01,01,00,6
11,00,00,01,01,01,01,00,7
10,01,00,01,01,01,01,00,5
11,01,00,01,01,01,01,00,5
10,00,01,01,01,01,01,00,5
11,00,01,01,01,01,01,00,5
10,01,01,01,01,01,01,00,5
11,01,01,01,01,01,01,00,4
